"ID","abstract","annote","note","number","journal","volume","pages","publisher","editor","booktitel","year","title","author","label","type"
41,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Heyne                    ","                                                                                ","                                                                                ","    ","Der Weg nach vorn                                                               ","Bill Gates, Nathan Myhrvold, Peter Rinearson, Frie                              ","          "," BOOK               "
42,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Bloomsbury               ","                                                                                ","                                                                                ","    ","Harry Potter and the Order of the Phoenix (Book 5)                              ","Joanne K. Rowling                                                               ","          "," BOOK               "
43,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Bloomsbury               ","                                                                                ","                                                                                ","    ","Harry Potter and the Goblet of Fire (Book 4)                                    ","Joanne K. Rowling                                                               ","          "," BOOK               "
44,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Dtv                      ","                                                                                ","                                                                                ","    ","Berlin Alexanderplatz                                                           ","Alfred Doeblin                                                                  ","          "," BOOK               "
45,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Sierra Taschenbuch       ","                                                                                ","                                                                                ","    ","Alaska-Fieber                                                                   ","Wolf-Ulrich Cropp                                                               ","          "," BOOK               "
46,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Klett-Cotta              ","                                                                                ","                                                                                ","    ","Der Herr der Ringe, Film-Tie-In, Tl.1, Die Gefaehrten                           ","John R. R. Tolkien, Wolfgang Krege                                              ","          "," BOOK               "
47,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Addison-Wesley           ","                                                                                ","                                                                                ","    ","Refactoring . Wie Sie das Design vorhandener Software verbessern                ","Martin Fowler                                                                   ","          "," BOOK               "
48,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Dtv                      ","                                                                                ","                                                                                ","    ","Der Name der Rose                                                               ","Umberto Eco, Burkhart Kroeber                                                   ","          "," BOOK               "
49,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Goldmann                 ","                                                                                ","                                                                                ","    ","Die 13 1/2 Leben des Kaeptaen Blaubaer                                          ","Walter Moers                                                                    ","          "," BOOK               "
50,"                                                                                                                                                                                                                                                               ","                                                                                ","                                                                                ","          ","                                    ","          ","          ","Dtv                      ","                                                                                ","                                                                                ","    ","Die Blechtrommel                                                                ","Guenter Grass                                                                   ","          "," BOOK               "
