Date;TestRunNumber;LoggerInvocationCount;ThreadID;ThreadName;StackTrace;Logger;Method;Class;LoggingPositionID;LoggingTraceID;LogType;CodeLine;LogDataType;IdentifyingName;ValueObject;Comment;AnalysisValue
2,13736E+13;0;10;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: getMessageDigest(96) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(78) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;getMessageDigest;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-646219306;1442036896;BeforeExternalAction;96;ParameterValue;inputFile.length;11994017;;null
2,13746E+13;0;11;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: isCopyrightedMaterial(117) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(80) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;isCopyrightedMaterial;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-2103529768;-2103523078;AfterExternalAction;117;ParameterValue;isCopyrighted;false;;null
2,13746E+13;0;12;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: isFileExistingInDB(126) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(84) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;isFileExistingInDB;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;1433623229;1433629889;AfterExternalAction;126;ParameterValue;isFileInDB;false;;null
2,13746E+13;0;13;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: storeFileWithStrategy(137) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(88) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;storeFileWithStrategy;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-387327581;-387320953;BeforeReturn;137;ParameterValue;file.length;11994017;;null
2,13746E+13;0;14;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: storeFileWithStrategy(141) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(88) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;storeFileWithStrategy;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-387327556;-387320953;BranchSelection;141;Timestamp;storage if: large;1;;null
2,13749E+13;0;15;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: compress(103) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(72) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;compress;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;1019126990;1019133715;BeforeExternalAction;103;ParameterValue;inputFile.length;33273;;null
2,13755E+13;0;16;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: compress(108) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(72) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;compress;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;1019126995;1019133715;AfterExternalAction;108;ParameterValue;compressedFile.length;33273;;null
2,13755E+13;0;17;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: getMessageDigest(96) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(78) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;getMessageDigest;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-646219306;1442036896;BeforeExternalAction;96;ParameterValue;inputFile.length;33273;;null
2,13755E+13;0;18;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: isCopyrightedMaterial(117) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(80) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;isCopyrightedMaterial;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-2103529768;-2103523078;AfterExternalAction;117;ParameterValue;isCopyrighted;false;;null
2,13755E+13;0;19;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: isFileExistingInDB(126) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(84) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;isFileExistingInDB;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;1433623229;1433629889;AfterExternalAction;126;ParameterValue;isFileInDB;false;;null
2,13755E+13;0;20;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: storeFileWithStrategy(137) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(88) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;storeFileWithStrategy;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-387327581;-387320953;BeforeReturn;137;ParameterValue;file.length;33273;;null
2,13755E+13;0;21;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: storeFileWithStrategy(147) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(88) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;storeFileWithStrategy;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-387327550;-387320953;BranchSelection;147;Timestamp;storage else: small;0;;null
2,13755E+13;0;22;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: getMessageDigest(96) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(78) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;getMessageDigest;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-646219306;1442036896;BeforeExternalAction;96;ParameterValue;inputFile.length;11994017;;null
2,13765E+13;0;23;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: isCopyrightedMaterial(117) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(80) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;isCopyrightedMaterial;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-2103529768;-2103523078;AfterExternalAction;117;ParameterValue;isCopyrighted;false;;null
2,13765E+13;0;24;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: isFileExistingInDB(126) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(84) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;isFileExistingInDB;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;1433623229;1433629889;AfterExternalAction;126;ParameterValue;isFileInDB;true;;null
2,13765E+13;0;25;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: getMessageDigest(96) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(78) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;getMessageDigest;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-646219306;1442036896;BeforeExternalAction;96;ParameterValue;inputFile.length;11944339;;null
2,13775E+13;0;26;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: isCopyrightedMaterial(117) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(80) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;isCopyrightedMaterial;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-2103529768;-2103523078;AfterExternalAction;117;ParameterValue;isCopyrighted;false;;null
2,13775E+13;0;27;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: isFileExistingInDB(126) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(84) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;isFileExistingInDB;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;1433623229;1433629889;AfterExternalAction;126;ParameterValue;isFileInDB;false;;null
2,13775E+13;0;28;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: storeFileWithStrategy(137) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(88) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;storeFileWithStrategy;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-387327581;-387320953;BeforeReturn;137;ParameterValue;file.length;11944339;;null
2,13775E+13;0;29;8;Thread-0; >>> java.lang.Thread: getStackTrace(-1) >>> de.uka.ipd.sdq.logger.Logger: addLogEntry(142) >>> de.uka.ipd.sdq.logger.Logger: addLogEntryData(316) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: storeFileWithStrategy(141) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore: uploadFiles(88) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: uploadFiles(19) >>> de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessRunner: run(24) >>> java.lang.Thread: run(-1);BusinessCore;storeFileWithStrategy;de.uka.ipd.sdq.palladiofileshare.businesslogic.BusinessCore / class java.lang.String;-387327556;-387320953;BranchSelection;141;Timestamp;storage if: large;1;;null
