"Upload ID";"File ID";"is compressed";"first meas.";"second meas.";
51458342953;all;-1;42285637700;-1;
51458342953;p1.pdf;0;588223643;7822;
51458342953;j0.jpg;1;5537575;3632;
51458342953;j1.jpg;1;1616127;2794;
51458342953;j8.jpg;1;1531480;3073;
51458342953;p5.pdf;0;415133487;4191;
51458342953;j4.jpg;1;1069410;2514;
51458342953;p5.pdf;0;566009926;4191;
51458342953;j2.jpg;1;2518198;2793;
51458342953;j1.jpg;1;1520305;2514;
51458342953;j9.jpg;1;1518070;2515;
51458342953;p7.pdf;0;403500724;4470;
51458342953;j2.jpg;1;3128610;3353;
51458342953;p0.pdf;0;449635638;3632;
51458342953;j6.jpg;1;529676;2235;
51458342953;p2.pdf;0;353783512;3911;
51458342953;j4.jpg;1;2572953;3352;
51458342953;j7.jpg;1;1242895;2515;
51458342953;j3.jpg;1;1861968;2514;
51458342953;p2.pdf;0;384223134;3911;
51458342953;p5.pdf;0;372171324;3911;
51458342953;j1.jpg;1;1524216;2514;
51458342953;p1.pdf;0;405747378;4191;
51458342953;p2.pdf;0;417655037;3912;
51458342953;p6.pdf;0;437105274;4191;
51458342953;j8.jpg;1;1487340;2514;
51458342953;j1.jpg;1;1504660;2235;
51458342953;j5.jpg;1;1297092;2514;
51458342953;j3.jpg;1;1866718;2514;
51458342953;p1.pdf;0;361010408;3911;
51458342953;p9.pdf;0;391673802;3911;
51458342953;j9.jpg;1;1511644;2235;
51458342953;p7.pdf;0;412501309;3632;
51458342953;j1.jpg;1;1514997;2235;
51458342953;j5.jpg;1;1302400;2514;
51458342953;j3.jpg;1;1877892;2514;
51458342953;p5.pdf;0;425489553;4190;
51458342953;p2.pdf;0;430896943;3911;
51458342953;p1.pdf;0;503377105;3911;
51458342953;p0.pdf;0;480900506;44978;
51458342953;j8.jpg;1;1518070;2515;
51458342953;p6.pdf;0;433550912;4191;
51458342953;j2.jpg;1;2291073;2515;
51458342953;p9.pdf;0;347986685;3352;
51458342953;p8.pdf;0;375209978;3911;
51458342953;p8.pdf;0;412568077;3911;
51458342953;j0.jpg;1;2058921;2514;
51458342953;p2.pdf;0;433265960;3911;
51458342953;p1.pdf;0;350858559;4191;
51458342953;p0.pdf;0;375199641;3911;
51458342953;j8.jpg;1;1494883;2235;
51458342953;p4.pdf;0;398321295;3632;
51458342953;j4.jpg;1;1041752;2235;
51458342953;p4.pdf;0;431325210;4191;
51458342953;j8.jpg;1;1493206;2514;
51458342953;j0.jpg;1;1875099;2235;
51458342953;p9.pdf;0;349762331;3911;
51458342953;p8.pdf;0;365453431;3911;
51458342953;p5.pdf;0;404147734;3911;
51458342953;p4.pdf;0;384104404;4749;
51458342953;p7.pdf;0;432510557;3911;
51458342953;p4.pdf;0;385421052;3632;
51458342953;j7.jpg;1;1230883;2514;
51458342953;p3.pdf;0;401448508;3911;
51458342953;p8.pdf;0;385830601;3911;
51458342953;j3.jpg;1;1897169;2234;
51458342953;p9.pdf;0;403586769;3911;
51458342953;p0.pdf;0;389935872;4190;
51458342953;p3.pdf;0;403738743;3911;
51458342953;p0.pdf;0;407542858;3912;
51458342953;p9.pdf;0;403487314;3911;
51458342953;p6.pdf;0;382371503;3911;
51458342953;j1.jpg;1;1532318;2514;
51458342953;p8.pdf;0;404550020;4190;
51458342953;p6.pdf;0;387828900;3911;
51458342953;j8.jpg;1;1484547;2235;
51458342953;j6.jpg;1;497549;2235;
51458342953;j9.jpg;1;1508292;2515;
51458342953;p2.pdf;0;403421663;3912;
51458342953;p2.pdf;0;385511846;3911;
51458342953;p5.pdf;0;398410412;3632;
51458342953;j3.jpg;1;1916445;2514;
51458342953;j0.jpg;1;1989080;2793;
51458342953;p2.pdf;0;386052418;3911;
51458342953;j4.jpg;1;1038959;2514;
51458342953;p5.pdf;0;397251047;3632;
51458342953;j4.jpg;1;1051531;2514;
51458342953;j9.jpg;1;1497956;2235;
51458342953;p5.pdf;0;385109280;3911;
51458342953;p8.pdf;0;403366629;3911;
51458342953;p6.pdf;0;394270781;3911;
51458342953;j7.jpg;1;1208533;2235;
51458342953;p9.pdf;0;369556187;4190;
51458342953;p3.pdf;0;384904506;4191;
51458342953;j7.jpg;1;1201549;2235;
51458342953;p1.pdf;0;362069761;3911;
51458342953;j1.jpg;1;1536508;2514;
51458342953;p5.pdf;0;370200681;3912;
51458342953;j6.jpg;1;526603;2235;
51458342953;p4.pdf;0;403191467;3911;
51458342953;p7.pdf;0;404715683;4749;
51458342953;p0.pdf;0;365946789;3911;
51458342953;j4.jpg;1;1040635;2235;
51458342953;j5.jpg;1;1271670;2234;
51458342953;j1.jpg;1;1538185;2514;
51458342953;p6.pdf;0;407547887;3911;
51458342953;j9.jpg;1;1525613;2514;
51458342953;j6.jpg;1;506209;2235;
51458342953;j9.jpg;1;1500470;2235;
51458342953;p0.pdf;0;353081747;3911;
51458342953;p4.pdf;0;364578738;3632;
51458342953;j4.jpg;1;1081143;2514;
51458342953;j5.jpg;1;1284521;2235;
51458342953;p2.pdf;0;387835884;3912;
51458342953;j6.jpg;1;521016;2514;
51458342953;p6.pdf;0;373381534;3631;
51458342953;j0.jpg;1;1894096;2235;
51458342953;j6.jpg;1;506210;2235;
51458342953;p1.pdf;0;402794210;3911;
51458342953;j4.jpg;1;1233956;2794;
51458342953;j3.jpg;1;1854146;2235;
