"File ID";"Compressed";"part";"Min of all measurements";"Avg of all measurements";"Med of all measurements";"Max of all measurements";"Upload ID";"value";"Upload ID";"value";"Upload ID";"value";"Upload ID";"value";
"j0.jpg";1;first;41739942;42203408;42368234;42810469;9460197625;41739942;9460197625;42810469;9460197625;42368234;9460197625;41894990;
"j0.jpg";1;second;1956;2235;2235;2515;9460197625;1956;9460197625;2515;9460197625;2235;9460197625;2235;
"j1.jpg";1;first;33454252;33547210;33608740;33630531;9460197625;33454252;9460197625;33495318;9460197625;33630531;9460197625;33608740;
"j1.jpg";1;second;1956;2165;2235;2235;9460197625;1956;9460197625;2235;9460197625;2235;9460197625;2235;
"j2.jpg";1;first;50815956;50900463;50950609;50968768;9460197625;50815956;9460197625;50968768;9460197625;50950609;9460197625;50866520;
"j2.jpg";1;second;1955;2095;2235;2235;9460197625;1955;9460197625;1956;9460197625;2235;9460197625;2235;
"j3.jpg";1;first;41542431;41689237;41632107;41993605;9460197625;41588805;9460197625;41632107;9460197625;41993605;9460197625;41542431;
"j3.jpg";1;second;2235;2235;2235;2235;9460197625;2235;9460197625;2235;9460197625;2235;9460197625;2235;
"j4.jpg";1;first;22713502;22787882;22776359;22907380;9460197625;22907380;9460197625;22754289;9460197625;22776359;9460197625;22713502;
"j4.jpg";1;second;1955;2095;2235;2235;9460197625;2235;9460197625;2235;9460197625;1955;9460197625;1955;
"j5.jpg";1;first;28608105;31698232;29482797;39867357;9460197625;39867357;9460197625;29482797;9460197625;28834670;9460197625;28608105;
"j5.jpg";1;second;2235;2654;2235;3911;9460197625;3911;9460197625;2235;9460197625;2235;9460197625;2235;
"j6.jpg";1;first;10858363;11190248;10946642;12078909;9460197625;10946642;9460197625;10858363;9460197625;12078909;9460197625;10877080;
"j6.jpg";1;second;1956;2235;2235;2794;9460197625;2235;9460197625;1956;9460197625;2794;9460197625;1956;
"j7.jpg";1;first;26340778;26371019;26356422;26443585;9460197625;26340778;9460197625;26443585;9460197625;26356422;9460197625;26343293;
"j7.jpg";1;second;1955;2094;2234;2234;9460197625;2234;9460197625;2234;9460197625;1956;9460197625;1955;
"j8.jpg";1;first;32866467;33073965;32934074;33598125;9460197625;33598125;9460197625;32866467;9460197625;32897197;9460197625;32934074;
"j8.jpg";1;second;1955;2165;2235;2235;9460197625;2235;9460197625;2235;9460197625;2235;9460197625;1955;
"j9.jpg";1;first;33299763;33608042;33539458;34275026;9460197625;33539458;9460197625;34275026;9460197625;33299763;9460197625;33317921;
"j9.jpg";1;second;1956;2165;2235;2235;9460197625;1956;9460197625;2235;9460197625;2235;9460197625;2235;
"p0.pdf";0;first;743548691;746421682;744881822;753262775;9460197625;753262775;9460197625;743548691;9460197625;743993440;9460197625;744881822;
"p0.pdf";0;second;2514;2584;2514;2794;9460197625;2514;9460197625;2514;9460197625;2794;9460197625;2514;
"p1.pdf";0;first;823852473;826757590;828306391;830181210;9460197625;823852473;9460197625;828306391;9460197625;830181210;9460197625;824690289;
"p1.pdf";0;second;2235;2514;2514;2794;9460197625;2514;9460197625;2514;9460197625;2235;9460197625;2794;
"p2.pdf";0;first;1239965973;1241355745;1241406660;1243492119;9460197625;1243492119;9460197625;1240558228;9460197625;1239965973;9460197625;1241406660;
"p2.pdf";0;second;2514;2514;2514;2515;9460197625;2515;9460197625;2514;9460197625;2514;9460197625;2514;
"p3.pdf";0;first;865593533;868869926;870517342;870811793;9460197625;870517342;9460197625;870811793;9460197625;868557038;9460197625;865593533;
"p3.pdf";0;second;2514;2514;2514;2515;9460197625;2515;9460197625;2514;9460197625;2514;9460197625;2514;
"p4.pdf";0;first;1004574325;1005801435;1005475556;1008140140;9460197625;1008140140;9460197625;1005475556;9460197625;1005015721;9460197625;1004574325;
"p4.pdf";0;second;2514;2654;2794;2794;9460197625;2794;9460197625;2514;9460197625;2794;9460197625;2514;
"p5.pdf";0;first;1144589326;1147573434;1149182368;1149809543;9460197625;1146712501;9460197625;1149809543;9460197625;1149182368;9460197625;1144589326;
"p5.pdf";0;second;2514;2584;2515;2794;9460197625;2514;9460197625;2794;9460197625;2514;9460197625;2515;
"p6.pdf";0;first;1159837354;1162323493;1163209570;1164790497;9460197625;1159837354;9460197625;1164790497;9460197625;1161456554;9460197625;1163209570;
"p6.pdf";0;second;2235;2584;2794;2794;9460197625;2235;9460197625;2794;9460197625;2794;9460197625;2514;
"p7.pdf";0;first;998785599;1001065498;1001684013;1004828268;9460197625;1004828268;9460197625;998964115;9460197625;998785599;9460197625;1001684013;
"p7.pdf";0;second;2514;2653;2793;2793;9460197625;2793;9460197625;2514;9460197625;2515;9460197625;2793;
"p8.pdf";0;first;1233155611;1245968412;1236935979;1279844226;9460197625;1236935979;9460197625;1279844226;9460197625;1233937833;9460197625;1233155611;
"p8.pdf";0;second;2514;2654;2515;3073;9460197625;2515;9460197625;2514;9460197625;2514;9460197625;3073;
"p9.pdf";0;first;1284772785;1291306507;1289988253;1303661499;9460197625;1303661499;9460197625;1289988253;9460197625;1286803491;9460197625;1284772785;
"p9.pdf";0;second;2514;2653;2793;2793;9460197625;2515;9460197625;2793;9460197625;2793;9460197625;2514;
