"Upload ID";"File ID";"is compressed";"first meas.";"second meas.";
9806020390;all;-1;52261672363;-1;
9806020390;p8.pdf;0;1716633259;7264;
9806020390;p0.pdf;0;949472349;3911;
9806020390;p7.pdf;0;1469156554;3353;
9806020390;j1.jpg;1;46067587;3353;
9806020390;j9.jpg;1;40854913;2794;
9806020390;p3.pdf;0;1101428254;3073;
9806020390;j4.jpg;1;26815978;2794;
9806020390;j9.jpg;1;38946011;2515;
9806020390;p7.pdf;0;1189483021;3073;
9806020390;p8.pdf;0;1477781674;3073;
9806020390;p9.pdf;0;1521772740;3073;
9806020390;j5.jpg;1;34572550;2794;
9806020390;p3.pdf;0;1038387002;2794;
9806020390;j6.jpg;1;12527291;2235;
9806020390;j5.jpg;1;33567674;2514;
9806020390;j0.jpg;1;49924222;2235;
9806020390;j4.jpg;1;26552816;2515;
9806020390;p9.pdf;0;1557264121;3353;
9806020390;j2.jpg;1;59218979;2235;
9806020390;j2.jpg;1;77238867;3073;
9806020390;j2.jpg;1;61597494;2793;
9806020390;j4.jpg;1;28585756;2514;
9806020390;j3.jpg;1;49505175;2514;
9806020390;p0.pdf;0;877622715;2794;
9806020390;p7.pdf;0;1224103902;2793;
9806020390;j9.jpg;1;39380424;2514;
9806020390;p6.pdf;0;1381606042;3073;
9806020390;j7.jpg;1;30900017;2235;
9806020390;j5.jpg;1;33195001;2235;
9806020390;p7.pdf;0;1185332214;3352;
9806020390;j7.jpg;1;30687978;2235;
9806020390;p2.pdf;0;1464345888;3073;
9806020390;j6.jpg;1;12663621;2514;
9806020390;p9.pdf;0;1564241265;3073;
9806020390;p5.pdf;0;1355729289;3353;
9806020390;p2.pdf;0;1470433253;2794;
9806020390;j3.jpg;1;48276527;2514;
9806020390;j7.jpg;1;30764804;2514;
9806020390;j0.jpg;1;49290063;2514;
9806020390;p1.pdf;0;972124949;3073;
9806020390;j2.jpg;1;59358662;2514;
9806020390;p9.pdf;0;1525265921;3352;
9806020390;j1.jpg;1;39361148;2514;
9806020390;j3.jpg;1;52517848;2794;
9806020390;p5.pdf;0;1356694217;3073;
9806020390;p4.pdf;0;1199205765;3073;
9806020390;p1.pdf;0;978353953;3073;
9806020390;p0.pdf;0;880065763;3073;
9806020390;p2.pdf;0;1470577127;3352;
9806020390;p4.pdf;0;1201502146;3073;
9806020390;p2.pdf;0;1468451717;3073;
9806020390;j6.jpg;1;13063113;2235;
9806020390;p1.pdf;0;982392176;2793;
9806020390;j4.jpg;1;26730771;2515;
9806020390;p3.pdf;0;1027643736;3632;
9806020390;p5.pdf;0;1397989968;3632;
9806020390;p5.pdf;0;1372922257;3073;
9806020390;j8.jpg;1;39469263;2514;
9806020390;p3.pdf;0;1024511775;2793;
9806020390;p6.pdf;0;1380469585;3352;
9806020390;j8.jpg;1;38217148;2514;
9806020390;j1.jpg;1;38940145;2514;
9806020390;j9.jpg;1;40481961;2514;
9806020390;p6.pdf;0;1386059960;3352;
9806020390;p4.pdf;0;1190468341;3073;
9806020390;j0.jpg;1;49155410;2514;
9806020390;j6.jpg;1;12486503;2235;
9806020390;j5.jpg;1;33412347;2235;
9806020390;j3.jpg;1;49870025;2235;
9806020390;p0.pdf;0;880320823;3073;
9806020390;p6.pdf;0;1386547731;3632;
9806020390;p1.pdf;0;973426510;3353;
9806020390;j8.jpg;1;38860526;2514;
9806020390;j1.jpg;1;38793199;2514;
9806020390;p4.pdf;0;1186895820;2794;
9806020390;p8.pdf;0;1457780248;2794;
9806020390;j0.jpg;1;48990584;2235;
9806020390;j7.jpg;1;30737147;2235;
9806020390;p8.pdf;0;1466575780;3632;
9806020390;j8.jpg;1;38611052;2514;
