Event Time;State
22600.91999999999;Busy 1 Job(s)
22600.91999999999;Idle
22600.91999999999;Busy 1 Job(s)
22632.41999999999;Idle
22632.41999999999;Busy 1 Job(s)
22663.91999999999;Idle
22663.91999999999;Busy 1 Job(s)
22695.41999999999;Idle
22695.41999999999;Busy 1 Job(s)
22726.91999999999;Idle
22726.91999999999;Busy 1 Job(s)
22758.41999999999;Idle
22758.41999999999;Busy 1 Job(s)
22774.789999999986;Idle
22774.789999999986;Busy 1 Job(s)
22783.57999999999;Busy 1 Job(s)
22783.57999999999;Busy 1 Job(s)
22783.57999999999;Idle
22783.57999999999;Busy 1 Job(s)
22783.57999999999;Idle
22783.57999999999;Busy 1 Job(s)
22783.57999999999;Busy 1 Job(s)
22783.57999999999;Busy 2 Job(s)
22815.07999999999;Idle
22815.07999999999;Busy 1 Job(s)
22846.57999999999;Idle
22846.57999999999;Busy 1 Job(s)
22878.07999999999;Idle
22878.07999999999;Busy 1 Job(s)
22909.57999999999;Idle
22909.57999999999;Busy 1 Job(s)
22941.07999999999;Idle
22941.07999999999;Busy 1 Job(s)
22966.23999999999;Idle
22966.23999999999;Busy 1 Job(s)
22966.23999999999;Idle
22966.23999999999;Busy 1 Job(s)
22966.23999999999;Idle
22966.23999999999;Busy 1 Job(s)
22966.23999999999;Idle
22966.23999999999;Busy 1 Job(s)
22997.73999999999;Idle
22997.73999999999;Busy 1 Job(s)
23029.23999999999;Idle
23029.23999999999;Busy 1 Job(s)
23060.73999999999;Idle
23060.73999999999;Busy 1 Job(s)
23068.749999999985;Idle
23068.749999999985;Busy 1 Job(s)
23068.749999999985;Idle
23068.749999999985;Busy 1 Job(s)
23077.53999999999;Busy 1 Job(s)
23077.53999999999;Busy 1 Job(s)
23077.53999999999;Idle
23077.53999999999;Busy 1 Job(s)
23077.53999999999;Idle
23077.53999999999;Busy 1 Job(s)
23109.03999999999;Idle
23109.03999999999;Busy 1 Job(s)
23140.53999999999;Idle
23140.53999999999;Busy 1 Job(s)
23172.03999999999;Idle
23172.03999999999;Busy 1 Job(s)
23180.049999999985;Idle
23180.049999999985;Busy 1 Job(s)
23203.53999999999;Idle
23203.53999999999;Busy 1 Job(s)
23224.649999999983;Idle
23224.649999999983;Busy 1 Job(s)
23224.649999999983;Idle
23224.649999999983;Busy 1 Job(s)
23235.03999999999;Idle
23235.03999999999;Busy 1 Job(s)
23263.56999999999;Idle
23263.56999999999;Busy 1 Job(s)
23288.63999999999;Idle
23352.009999999987;Busy 1 Job(s)
23352.009999999987;Idle
23352.009999999987;Busy 1 Job(s)
23352.009999999987;Idle
23352.009999999987;Busy 1 Job(s)
23383.509999999987;Idle
23383.509999999987;Busy 1 Job(s)
23407.309999999983;Idle
23407.309999999983;Busy 1 Job(s)
23407.309999999983;Idle
23407.309999999983;Busy 1 Job(s)
23415.009999999987;Idle
23415.009999999987;Busy 1 Job(s)
23446.509999999987;Idle
23446.509999999987;Busy 1 Job(s)
23463.309999999987;Idle
23463.309999999987;Busy 1 Job(s)
23463.309999999987;Idle
23463.309999999987;Busy 1 Job(s)
23476.529999999988;Idle
23574.609999999986;Busy 1 Job(s)
23574.609999999986;Idle
23574.609999999986;Busy 1 Job(s)
23593.339999999982;Idle
23593.339999999982;Busy 1 Job(s)
23606.109999999986;Idle
23606.109999999986;Busy 1 Job(s)
23637.609999999986;Idle
23637.609999999986;Busy 1 Job(s)
23669.109999999986;Idle
23669.109999999986;Busy 1 Job(s)
23700.609999999986;Idle
23700.609999999986;Busy 1 Job(s)
23732.109999999986;Idle
23732.109999999986;Busy 1 Job(s)
23760.639999999985;Idle
23760.639999999985;Busy 1 Job(s)
23775.99999999998;Idle
23775.99999999998;Busy 1 Job(s)
23785.709999999985;Idle
23785.709999999985;Busy 1 Job(s)
23805.869999999984;Idle
23887.29999999998;Busy 1 Job(s)
