File ID;Compressed;part;Min of all measurements;Avg of all measurements;Med of all measurements;Max of all measurements;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value
j0.jpg;1;first;3245664;5425026;3276674;20466009;8845124421;20466009;8845124421;3247061;8845124421;3245664;8845124421;3262705;8845124421;3346514;8845124421;3248737;8845124421;3306845;8845124421;3276674;;;;;;;;;;
j0.jpg;1;second;3073;3527;3352;4749;8845124421;4749;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;4191;8845124421;3073;8845124421;3352;8845124421;3632;;;;;;;;;;
j1.jpg;1;first;2607315;3077816;2611505;3952737;8845124421;3952737;8845124421;3830934;8845124421;3896025;8845124421;3890159;8845124421;2611505;8845124421;2607315;8845124421;2611226;8845124421;2611226;8845124421;2611225;8845124421;2607315;8845124421;2626312;;;;
j1.jpg;1;second;2793;2946;3073;3073;8845124421;3073;8845124421;2793;8845124421;2794;8845124421;2794;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;2793;8845124421;2794;8845124421;3073;8845124421;3073;;;;
j2.jpg;1;first;3948546;4593786;3983188;5900750;8845124421;5808280;8845124421;5900750;8845124421;3949943;8845124421;3948546;8845124421;3972013;8845124421;3983188;;;;;;;;;;;;;;
j2.jpg;1;second;2794;3259;3073;3911;8845124421;3073;8845124421;2794;8845124421;3073;8845124421;3073;8845124421;3911;8845124421;3632;;;;;;;;;;;;;;
j3.jpg;1;first;3233092;3677841;3239797;4954541;8845124421;4954541;8845124421;4828826;8845124421;3890438;8845124421;3239518;8845124421;3237841;8845124421;3239797;8845124421;3241753;8845124421;3233092;8845124421;3234768;;;;;;;;
j3.jpg;1;second;2793;3042;3073;3353;8845124421;3352;8845124421;2793;8845124421;3353;8845124421;3073;8845124421;3073;8845124421;2794;8845124421;3073;8845124421;2794;8845124421;3073;;;;;;;;
j4.jpg;1;first;1778997;2126526;1803301;4303899;8845124421;2624914;8845124421;4303899;8845124421;1803860;8845124421;1803301;8845124421;1782628;8845124421;1782070;8845124421;1781511;8845124421;1784584;8845124421;1819505;8845124421;1778997;;;;;;
j4.jpg;1;second;2793;3072;3073;3631;8845124421;3073;8845124421;2793;8845124421;3073;8845124421;2794;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;3631;8845124421;3073;;;;;;
j5.jpg;1;first;2228495;2371530;2234363;3463848;8845124421;3463848;8845124421;2232127;8845124421;2229333;8845124421;2239950;8845124421;2233524;8845124421;2240508;8845124421;2241625;8845124421;2234363;8845124421;2228495;;;;;;;;
j5.jpg;1;second;2793;3011;3073;3353;8845124421;3353;8845124421;3073;8845124421;3073;8845124421;2793;8845124421;3073;8845124421;2794;8845124421;3073;8845124421;3073;8845124421;2794;;;;;;;;
j6.jpg;1;first;863238;917342;867987;1447111;8845124421;1447111;8845124421;869384;8845124421;870781;8845124421;863238;8845124421;864077;8845124421;880000;8845124421;865753;8845124421;867987;8845124421;883911;8845124421;867429;8845124421;864356;8845124421;864077;;
j6.jpg;1;second;2793;3003;3073;3073;8845124421;3073;8845124421;2794;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;2793;8845124421;3073;8845124421;2794;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;3073;;
j7.jpg;1;first;2058921;2190955;2061994;3094248;8845124421;3094248;8845124421;2060318;8845124421;2061994;8845124421;2060597;8845124421;2063949;8845124421;2066743;8845124421;2060877;8845124421;2058921;;;;;;;;;;
j7.jpg;1;second;2793;3038;3073;3353;8845124421;3353;8845124421;2793;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;2793;;;;;;;;;;
j8.jpg;1;first;2562337;2833385;2570159;3839594;8845124421;3806629;8845124421;3839594;8845124421;2568483;8845124421;2565130;8845124421;2570159;8845124421;3078324;8845124421;2996191;8845124421;2562337;8845124421;2572394;8845124421;2565410;8845124421;2576863;8845124421;2565410;8845124421;2567086
j8.jpg;1;second;2794;3116;3073;3632;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;2794;8845124421;3073;8845124421;3632;8845124421;3352;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;3073;8845124421;3073
j9.jpg;1;first;2595582;3452917;2604800;8194617;8845124421;3816127;8845124421;8194617;8845124421;2595582;8845124421;2596419;8845124421;2603962;8845124421;2604800;8845124421;2615695;8845124421;2596140;;;;;;;;;;
j9.jpg;1;second;2793;3177;3073;4749;8845124421;2794;8845124421;4749;8845124421;2793;8845124421;3073;8845124421;3073;8845124421;2794;8845124421;3073;8845124421;3073;;;;;;;;;;
p0.pdf;0;first;162900033;387487562;163890941;1141679180;8845124421;1141679180;8845124421;163768300;8845124421;162900033;8845124421;1011803735;8845124421;163539500;8845124421;1023501031;8845124421;163500389;8845124421;163890941;8845124421;163312656;8845124421;163577493;8845124421;163941786;8845124421;164435704;;
p0.pdf;0;second;3352;4376;4470;5029;8845124421;3352;8845124421;4191;8845124421;5029;8845124421;4470;8845124421;4470;8845124421;4191;8845124421;4749;8845124421;4470;8845124421;4469;8845124421;4470;8845124421;4190;8845124421;4470;;
p1.pdf;0;first;182612594;287157613;183193115;1029287521;8845124421;374109000;8845124421;185016811;8845124421;185822780;8845124421;182612594;8845124421;183193115;8845124421;183085281;8845124421;1029287521;8845124421;182697801;8845124421;182975210;8845124421;182776024;;;;;;
p1.pdf;0;second;4190;4777;4470;8660;8845124421;8660;8845124421;4190;8845124421;4190;8845124421;4191;8845124421;4470;8845124421;4470;8845124421;4470;8845124421;4470;8845124421;4191;8845124421;4469;;;;;;
p2.pdf;0;first;235705934;380264018;236363560;1110929741;8845124421;239214481;8845124421;238702405;8845124421;1086136366;8845124421;236807471;8845124421;235823547;8845124421;235899535;8845124421;235705934;8845124421;1110929741;8845124421;235799242;8845124421;235813490;8845124421;235972449;8845124421;236363560;;
p2.pdf;0;second;3632;4400;4470;4749;8845124421;3632;8845124421;4469;8845124421;4191;8845124421;4191;8845124421;4470;8845124421;4469;8845124421;4749;8845124421;4749;8845124421;4470;8845124421;4470;8845124421;4470;8845124421;4470;;
p3.pdf;0;first;191388291;195369403;192319694;214801881;8845124421;192319694;8845124421;191680786;8845124421;214801881;8845124421;192100951;8845124421;191388291;8845124421;192844900;8845124421;192449320;;;;;;;;;;;;
p3.pdf;0;second;4470;4549;4470;4749;8845124421;4470;8845124421;4470;8845124421;4749;8845124421;4470;8845124421;4470;8845124421;4470;8845124421;4749;;;;;;;;;;;;
p4.pdf;0;first;217449424;481780617;221367520;1098454972;8845124421;1098454972;8845124421;217449424;8845124421;1096758666;8845124421;218467710;8845124421;220844269;8845124421;221367520;8845124421;218491735;8845124421;230968461;8845124421;1074448847;8845124421;220554567;;;;;;
