what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1251228774689
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1251228774689
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1251228774689
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1251228774689
started,bundle,org.eclipse.ui.intro,3.3.0.v20090526,"org.eclipse.ui.intro",1251228774689
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1251228774689
started,bundle,org.eclipse.ui.navigator,3.4.0.I20090525-2000,"org.eclipse.ui.navigator",1251228774689
started,bundle,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.resources",1251228774689
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1251228774689
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1251228774689
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1251228774689
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1251228774689
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1251228774689
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1251228774690
os,sysinfo,,,"win32",1251228774695
arch,sysinfo,,,"x86",1251228774695
ws,sysinfo,,,"win32",1251228774695
locale,sysinfo,,,"de_DE",1251228774695
processors,sysinfo,,,"1",1251228774695
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1251228774695
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1251228774695
java.specification.name,sysinfo,,,"Java Platform API Specification",1251228774695
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1251228774695
java.specification.version,sysinfo,,,"1.6",1251228774695
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1251228774695
