"Upload ID";"File ID";"is compressed";"first meas.";"second meas.";
8845798156;all;-1;227368697419;-1;
8845798156;p1.pdf;0;1502948839;6705;
8845798156;j0.jpg;1;74517572;4190;
8845798156;j1.jpg;1;59252782;2514;
8845798156;j8.jpg;1;58766966;2794;
8845798156;p5.pdf;0;2108034680;4470;
8845798156;j4.jpg;1;40251764;2793;
8845798156;p5.pdf;0;2102639302;4190;
8845798156;j2.jpg;1;90264265;4191;
8845798156;j1.jpg;1;59326535;3073;
8845798156;j9.jpg;1;58984313;3073;
8845798156;p7.pdf;0;1856231727;3632;
8845798156;j2.jpg;1;90157827;3911;
8845798156;p0.pdf;0;2194021587;4470;
8845798156;j6.jpg;1;19711724;3073;
8845798156;p2.pdf;0;2331702493;3911;
8845798156;j4.jpg;1;42971942;3352;
8845798156;j7.jpg;1;47399600;3631;
8845798156;j3.jpg;1;74300784;3631;
8845798156;p2.pdf;0;2334543077;3632;
8845798156;p5.pdf;0;2105824902;4191;
8845798156;j1.jpg;1;59682446;3073;
8845798156;p1.pdf;0;1503631048;4470;
8845798156;p2.pdf;0;3044902914;5587;
8845798156;p6.pdf;0;2139472755;4190;
8845798156;j8.jpg;1;58768083;3353;
8845798156;j1.jpg;1;59746420;3632;
8845798156;j5.jpg;1;50777682;2515;
8845798156;j3.jpg;1;74164175;3911;
8845798156;p1.pdf;0;1504863887;4469;
8845798156;p9.pdf;0;2365664630;4191;
8845798156;j9.jpg;1;59403081;3911;
8845798156;p7.pdf;0;1857550610;4191;
8845798156;j1.jpg;1;59792236;3352;
8845798156;j5.jpg;1;50903955;3073;
8845798156;j3.jpg;1;74087070;3632;
8845798156;p5.pdf;0;2840940958;4469;
8845798156;p2.pdf;0;2327146048;3911;
8845798156;p1.pdf;0;1501462058;3911;
8845798156;p0.pdf;0;1361219094;3911;
8845798156;j8.jpg;1;58906928;3073;
8845798156;p6.pdf;0;2142993593;3632;
8845798156;j2.jpg;1;91179465;3632;
8845798156;p9.pdf;0;2376102829;4190;
8845798156;p8.pdf;0;2993356418;4191;
8845798156;p8.pdf;0;2282343427;3911;
8845798156;j0.jpg;1;74561431;3632;
8845798156;p2.pdf;0;2331762277;3911;
8845798156;p1.pdf;0;1504655201;3911;
8845798156;p0.pdf;0;1361185849;3911;
8845798156;j8.jpg;1;58757188;3632;
8845798156;p4.pdf;0;2575179248;4190;
8845798156;j4.jpg;1;40575268;3074;
8845798156;p4.pdf;0;1844132704;3911;
8845798156;j8.jpg;1;58895753;3911;
