Upload ID;File ID;is compressed;first meas.;second meas.
8720914890;all;-1;7178272658;-1
8720914890;j0.jpg;1;82452938;1158806
8720914890;j1.jpg;1;61413392;887264
8720914890;j8.jpg;1;59113100;752051
8720914890;p5.pdf;0;2275539210;997054
8720914890;j4.jpg;1;40744284;858769
8720914890;p5.pdf;0;2272788860;83251
8720914890;j2.jpg;1;92667923;934197
8720914890;j1.jpg;1;60293696;60902
8720914890;j9.jpg;1;60580605;790603
8720914890;p7.pdf;0;2072774333;1103213
8720914890;j2.jpg;1;92174843;60064
8720920000;all;-1;16235006404;-1
8720920000;j6.jpg;1;20024891;773004
8720920000;p2.pdf;0;2806834667;1162718
8720920000;j4.jpg;1;41314748;60622
8720920000;j7.jpg;1;47356577;872737
8720920000;j3.jpg;1;76142918;846476
8720920000;p2.pdf;0;2755860032;61461
8720920000;p5.pdf;0;2320272269;60622
8720920000;j1.jpg;1;67526460;62019
8720920000;p1.pdf;0;2552706280;61460
8720920000;p2.pdf;0;5542909225;61739
8720925062;all;-1;21551737441;-1
8720925062;j8.jpg;1;59494712;61181
8720925062;j1.jpg;1;62216567;61181
8720925062;j5.jpg;1;76421166;1008228
8720925062;j3.jpg;1;75001711;60343
8720925062;p1.pdf;0;1663067513;1043149
8720925062;p9.pdf;0;2593473472;1164952
8720925062;j9.jpg;1;60961938;60902
8720925062;p7.pdf;0;2941680856;61181
8720925062;j1.jpg;1;60510204;58667
8720925062;j5.jpg;1;51220476;57829
8720925062;j3.jpg;1;77826372;60901
8720925062;p5.pdf;0;2321947343;63136
8720925062;p2.pdf;0;4949625441;61181
8720925062;p1.pdf;0;3257038534;61181
8720925062;p0.pdf;0;3096266425;1047060
8720925062;j8.jpg;1;199935467;61740
8720930656;all;-1;52382672100;-1
8720930656;j2.jpg;1;204153322;61181
8720930656;p9.pdf;0;5155835169;60901
8720930656;p8.pdf;0;2660428909;1139530
8720930656;p8.pdf;0;3001524495;60902
8720930656;j0.jpg;1;138414519;59784
8720930656;p2.pdf;0;5584875452;62299
8720930656;p1.pdf;0;3359667499;60902
8720930656;p0.pdf;0;3658190915;62019
8720930656;j8.jpg;1;152693429;59226
8720930656;p4.pdf;0;5805472483;61181
8720930656;j4.jpg;1;103631327;59505
8720930656;p4.pdf;0;6760639411;61181
8720930656;j8.jpg;1;199779581;60901
8720930656;j0.jpg;1;231982835;60343
8720930656;p9.pdf;0;7674633787;61181
8720930656;p8.pdf;0;7688643669;61181
8720935718;all;-1;52120806974;-1
8720935718;p4.pdf;0;4118250784;1123606
8720935718;p7.pdf;0;4312215379;61460
8720935718;p4.pdf;0;4285945560;61740
8720935718;j7.jpg;1;110494490;60064
8720935718;p3.pdf;0;3959084186;36005693
8720935718;p8.pdf;0;6986234004;63416
8720935718;j3.jpg;1;231026849;60343
8720935718;p9.pdf;0;9503073714;60064
8720935718;p0.pdf;0;3511432319;61461
8720935718;p3.pdf;0;3373565635;61181
8720935718;p0.pdf;0;2266144440;61461
8720935718;p9.pdf;0;4299766311;63974
8720935718;p6.pdf;0;2526226099;61181
8720935718;j1.jpg;1;60537303;58666
8720935718;p8.pdf;0;2538832450;62019
8720940828;all;-1;48581746842;-1
8720940828;j8.jpg;1;90604253;60343
8720940828;j6.jpg;1;51568286;58946
8720940828;j9.jpg;1;123568498;60902
8720940828;p2.pdf;0;5535207687;60901
8720940828;p2.pdf;0;6032660296;61460
8720940828;p5.pdf;0;6319062897;61181
8720940828;j3.jpg;1;168887665;60064
8720940828;j0.jpg;1;262346192;60902
8720940828;p2.pdf;0;9161821126;64254
8720940828;j4.jpg;1;129841363;60901
8720940828;p5.pdf;0;6638372474;60622
8720940828;j4.jpg;1;103864597;58946
8720940828;j9.jpg;1;170294828;60901
8720940828;p5.pdf;0;7450856463;60622
8720940828;p8.pdf;0;4001027226;60902
8720940828;p6.pdf;0;2340734925;61181
8720945890;all;-1;23534504246;-1
8720945890;p9.pdf;0;5478672569;61181
8720945890;p3.pdf;0;4331044868;60901
8720945890;j7.jpg;1;158903156;62857
8720945890;p1.pdf;0;4946222495;58387
8720945890;j1.jpg;1;188088709;57829
8720945890;p5.pdf;0;8317483367;58946
8720945890;j6.jpg;1;113642655;60623
8720951062;all;-1;34977683477;-1
8720951062;p7.pdf;0;5086969433;61181
8720951062;p0.pdf;0;4358491372;59784
8720951062;j4.jpg;1;104532559;59505
8720951062;j5.jpg;1;177146537;65371
8720951062;j1.jpg;1;186871796;60901
8720951062;p6.pdf;0;7789681370;59225
8720951062;j9.jpg;1;260819182;61461
8720951062;j6.jpg;1;19571203;58108
8720951062;j9.jpg;1;201138692;61461
8720951062;p0.pdf;0;4169463437;63696
8720951062;p4.pdf;0;5830416436;61181
8720951062;j4.jpg;1;89062995;59505
8720951062;j5.jpg;1;176724416;60623
8720951062;p2.pdf;0;6525890860;61461
8720956156;all;-1;14292634399;-1
8720956156;p6.pdf;0;7366066358;166557481
8720956156;j0.jpg;1;247268298;61181
8720956156;j6.jpg;1;98459161;60064
8720956156;p1.pdf;0;6047846305;61181
8720956156;j4.jpg;1;103647251;62299
8720956156;j3.jpg;1;262457938;61181
8720961343;all;-1;20861465633;-1
8720961343;j5.jpg;1;145818533;62019
8720961343;p2.pdf;0;9347053606;62019
8720961343;p5.pdf;0;6229276905;63136
8720961343;p3.pdf;0;5139046722;65372
