opcode;opcode;Instruction duration [ns]
AALOAD;50;5.31
ALOAD;25;4.05
ARRAYLENGTH;190;3.07
ASTORE;58;2.1
BALOAD;51;3.77
ICONST_0;3;1.68
ICONST_1;4;1.68
ICONST_M1;2;1.68
IF_ICMPLT;161;4
IF_ICMPNE;160;4
IINC;132;3
ILOAD;21;2.38
NEWARRAY;188;178.79
SIPUSH;17;2
