File ID;Compressed;part;Min of all measurements;Avg of all measurements;Med of all measurements;Max of all measurements;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value
j0.jpg;1;first;74,301,343;74,678,031;74,724,581;75,152,569;8845798156;74517572;8845798156;74561431;8845798156;74724581;8845798156;74410854;8845798156;75000314;8845798156;74755590;8845798156;74301343;8845798156;75152569;;;;;;;;;;
j0.jpg;1;second;3,073;3,457;3,631;4,190;8845798156;4190;8845798156;3632;8845798156;3632;8845798156;3073;8845798156;3353;8845798156;3074;8845798156;3073;8845798156;3631;;;;;;;;;;
j1.jpg;1;first;59,252,782;59,744,845;59,726,865;60,247,322;8845798156;59252782;8845798156;59326535;8845798156;59682446;8845798156;59746420;8845798156;59792236;8845798156;59662052;8845798156;59704516;8845798156;60181671;8845798156;59726865;8845798156;59870458;8845798156;60247322;;;;
j1.jpg;1;second;2,514;3,225;3,073;3,911;8845798156;2514;8845798156;3073;8845798156;3073;8845798156;3632;8845798156;3352;8845798156;3073;8845798156;3073;8845798156;3353;8845798156;3352;8845798156;3073;8845798156;3911;;;;
j2.jpg;1;first;90,157,827;90,773,733;90,933,344;91,482,856;8845798156;90264265;8845798156;90157827;8845798156;91179465;8845798156;91482856;8845798156;90624646;8845798156;90933344;;;;;;;;;;;;;;
j2.jpg;1;second;3,073;3,632;3,632;4,191;8845798156;4191;8845798156;3911;8845798156;3632;8845798156;3632;8845798156;3353;8845798156;3073;;;;;;;;;;;;;;
j3.jpg;1;first;74,024,772;74,260,400;74,296,873;74,664,518;8845798156;74300784;8845798156;74164175;8845798156;74087070;8845798156;74024772;8845798156;74296873;8845798156;74090422;8845798156;74302739;8845798156;74412250;8845798156;74664518;;;;;;;;
j3.jpg;1;second;2,793;3,352;3,353;3,911;8845798156;3631;8845798156;3911;8845798156;3632;8845798156;3073;8845798156;3073;8845798156;2793;8845798156;3632;8845798156;3353;8845798156;3073;;;;;;;;
j4.jpg;1;first;40,251,764;40,878,938;40,601,529;42,971,942;8845798156;40251764;8845798156;42971942;8845798156;40575268;8845798156;41111370;8845798156;40562139;8845798156;40523307;8845798156;40601250;8845798156;40601529;8845798156;40801275;8845798156;40789542;;;;;;
j4.jpg;1;second;2,793;3,156;3,073;3,911;8845798156;2793;8845798156;3352;8845798156;3074;8845798156;3632;8845798156;3073;8845798156;2794;8845798156;3073;8845798156;2794;8845798156;3073;8845798156;3911;;;;;;
j5.jpg;1;first;50,777,682;50,980,470;50,903,955;51,387,258;8845798156;50777682;8845798156;50903955;8845798156;50900044;8845798156;51232209;8845798156;50888032;8845798156;50884400;8845798156;51387258;8845798156;50915410;8845798156;50935244;;;;;;;;
j5.jpg;1;second;2,515;3,073;3,073;3,632;8845798156;2515;8845798156;3073;8845798156;3073;8845798156;3073;8845798156;3632;8845798156;2794;8845798156;3073;8845798156;3352;8845798156;3073;;;;;;;;
j6.jpg;1;first;19,365,031;19,434,709;19,392,409;19,711,724;8845798156;19711724;8845798156;19392409;8845798156;19379837;8845798156;19387101;8845798156;19379558;8845798156;19377602;8845798156;19415037;8845798156;19494098;8845798156;19365031;8845798156;19406097;8845798156;19534885;8845798156;19373132;;
j6.jpg;1;second;2,793;2,933;3,073;3,073;8845798156;3073;8845798156;2793;8845798156;2794;8845798156;3073;8845798156;3073;8845798156;3073;8845798156;2794;8845798156;3073;8845798156;2794;8845798156;2794;8845798156;3073;8845798156;2794;;
j7.jpg;1;first;46,970,495;47,169,228;47,091,180;47,696,844;8845798156;47399600;8845798156;46970495;8845798156;47091180;8845798156;47036146;8845798156;47056539;8845798156;47092298;8845798156;47696844;8845798156;47010723;;;;;;;;;;
j7.jpg;1;second;3,073;3,422;3,631;3,912;8845798156;3631;8845798156;3073;8845798156;3073;8845798156;3352;8845798156;3912;8845798156;3073;8845798156;3632;8845798156;3632;;;;;;;;;;
j8.jpg;1;first;58,594,039;58,713,736;58,705,505;58,906,928;8845798156;58766966;8845798156;58768083;8845798156;58906928;8845798156;58757188;8845798156;58895753;8845798156;58615550;8845798156;58616109;8845798156;58617227;8845798156;58682598;8845798156;58705505;8845798156;58751602;8845798156;58601023;8845798156;58594039
j8.jpg;1;second;2,794;3,202;3,073;3,911;8845798156;2794;8845798156;3353;8845798156;3073;8845798156;3632;8845798156;3911;8845798156;3073;8845798156;3073;8845798156;3073;8845798156;3073;8845798156;3073;8845798156;3073;8845798156;2794;8845798156;3632
j9.jpg;1;first;58,984,313;59,524,325;59,632,998;59,836,376;8845798156;58984313;8845798156;59403081;8845798156;59836376;8845798156;59632998;8845798156;59460071;8845798156;59674064;8845798156;59733290;8845798156;59470407;;;;;;;;;;
j9.jpg;1;second;3,073;3,631;3,632;4,749;8845798156;3073;8845798156;3911;8845798156;3632;8845798156;4749;8845798156;3911;8845798156;3632;8845798156;3073;8845798156;3073;;;;;;;;;;
p0.pdf;0;first;1,360,430,166;1,552,134,070;1,364,078,954;2,194,021,587;8845798156;2194021587;8845798156;1361219094;8845798156;1361185849;8845798156;2076536543;8845798156;1363724720;8845798156;2080165775;8845798156;1362569824;8845798156;1360430166;8845798156;1365834205;8845798156;1362935233;8845798156;1364078954;8845798156;1372906892;;
p0.pdf;0;second;3,352;3,818;3,911;4,749;8845798156;4470;8845798156;3911;8845798156;3911;8845798156;4749;8845798156;3352;8845798156;3632;8845798156;3911;8845798156;3632;8845798156;4191;8845798156;3353;8845798156;3353;8845798156;3353;;
