Event Time;Time Span
1229231.3999999969;1229228.3999999969
2457769.8999998695;1228535.4999998726
3688885.8399998774;1231112.9400000079
4913507.020000932;1224618.1800010544
6141602.72000277;1228092.7000018386
7361780.79000457;1220175.0700017996
8589687.850006385;1227904.0600018147
9817479.440008242;1227788.590001857
1.1034824120010128E7;1217341.6800018866
1.2258380370012134E7;1223553.250002006
1.3483621590014037E7;1225238.2200019024
1.4709646950015895E7;1226022.3600018583
1.593650463001783E7;1226854.680001935
1.7163368210020132E7;1226860.5800023023
1.8387241810023233E7;1223870.600003101
1.962242509002638E7;1235180.2800031453
2.0849719580029663E7;1227291.490003284
2.2076924730032783E7;1227202.1500031203
2.329835245003588E7;1221424.7200030982
2.452833501003909E7;1229979.5600032099
2.575629393004229E7;1227955.920003198
2.698605522004545E7;1229758.2900031619
2.8212898830048528E7;1226840.6100030765
2.9439088620051634E7;1226186.790003106
3.066942721005477E7;1230335.5900031365
3.189176682005788E7;1222336.61000311
3.3119787890061103E7;1228018.0700032227
3.434705728004648E7;1227266.389985375
3.5570379610021904E7;1223319.3299754262
3.679586488999715E7;1225482.279975243
3.802572380997278E7;1229855.919975631
3.9252276619948335E7;1226549.809975557
4.0479777259923734E7;1227497.6399753988
4.170748206989896E7;1227701.8099752292
4.293806959987391E7;1230584.529974945
4.4168659739848725E7;1230587.1399748176
4.539589204982428E7;1227229.309975557
4.6615824079799145E7;1219929.029974863
4.7842375819774434E7;1226548.7399752885
4.906940117974946E7;1227022.359975025
5.029548061972468E7;1226076.4399752244
5.151890648969957E7;1223422.8699748889
5.274228809967487E7;1223378.6099753007
5.396295810965015E7;1220667.009975277
5.5192176389625706E7;1229215.2799755558
5.641786020960087E7;1225680.8199751675
5.7636456249575794E7;1218593.0399749205
5.886855411955127E7;1232094.8699754775
6.009850840952643E7;1229951.2899751589
6.132540539950179E7;1226893.989975363
6.254976925947663E7;1224360.8599748388
6.3782997019451834E7;1233224.7599752024
6.500856082942671E7;1225560.809974879
6.623228946940174E7;1223725.6399750262
6.745572655937475E7;1223434.0899730101
6.868315152934243E7;1227421.9699676782
6.990340640931031E7;1220251.8799678832
7.112915202927715E7;1225742.6199668348
7.235816994924428E7;1229014.9199671298
7.358869920921138E7;1230526.2599671036
7.48150040891783E7;1226301.8799669147
7.603714123914558E7;1222134.149967283
7.7261103539113E7;1223959.299967423
7.848855260908014E7;1227446.0699671358
7.971304510904713E7;1224489.499966994
8.094361726901354E7;1230569.1599664092
8.217419653898071E7;1230576.2699671686
8.340225132894811E7;1228051.7899674028
8.463084869891512E7;1228594.3699670136
8.585525977888264E7;1224408.0799675137
8.708233734884958E7;1227074.569966942
8.831418040881619E7;1231840.0599666089
8.95457874587831E7;1231604.0499669164
9.077463268875049E7;1228842.2299673855
9.200496323871762E7;1230327.549967125
9.323598808868513E7;1231021.8499675095
9.446574476865217E7;1229753.6799670458
9.569707011861926E7;1231322.3499670923
9.693023809858637E7;1233164.9799671024
9.815358907855333E7;1223347.9799669683
9.815359E7;0.0
