"File ID";"Compressed";"part";"Min of all measurements";"Avg of all measurements";"Med of all measurements";"Max of all measurements";"Upload ID";"value";"Upload ID";"value";"Upload ID";"value";"Upload ID";"value";
"j0.jpg";1;first;1858616;1876775;1883759;1885715;51444229062;1883759;51444229062;1879010;51444229062;1885715;51444229062;1858616;
"j0.jpg";1;second;2234;2374;2514;2515;51444229062;2234;51444229062;2235;51444229062;2514;51444229062;2515;
"j1.jpg";1;first;1522261;2041390;2218997;2870197;51444229062;2870197;51444229062;2218997;51444229062;1522261;51444229062;1554108;
"j1.jpg";1;second;2514;2514;2515;2515;51444229062;2515;51444229062;2515;51444229062;2514;51444229062;2514;
"j2.jpg";1;first;2277943;2850432;3414400;3419429;51444229062;3419429;51444229062;3414400;51444229062;2277943;51444229062;2289956;
"j2.jpg";1;second;2235;2723;2794;3352;51444229062;2235;51444229062;2794;51444229062;2514;51444229062;3352;
"j3.jpg";1;first;1855264;2210686;2320686;2802312;51444229062;2802312;51444229062;2320686;51444229062;1864483;51444229062;1855264;
"j3.jpg";1;second;2514;2723;2793;3073;51444229062;2514;51444229062;3073;51444229062;2793;51444229062;2514;
"j4.jpg";1;first;1026387;1294368;1521981;1539023;51444229062;1521981;51444229062;1539023;51444229062;1090082;51444229062;1026387;
"j4.jpg";1;second;2235;2375;2515;2515;51444229062;2235;51444229062;2235;51444229062;2515;51444229062;2515;
"j5.jpg";1;first;1297930;1962260;1929016;2715429;51444229062;1906667;51444229062;2715429;51444229062;1929016;51444229062;1297930;
"j5.jpg";1;second;2514;2514;2515;2515;51444229062;2514;51444229062;2515;51444229062;2514;51444229062;2515;
"j6.jpg";1;first;508724;570393;520178;743670;51444229062;743670;51444229062;508724;51444229062;520178;51444229062;509003;
"j6.jpg";1;second;2235;2304;2235;2514;51444229062;2235;51444229062;2514;51444229062;2235;51444229062;2235;
"j7.jpg";1;first;1180318;1487619;1785981;1788217;51444229062;1785981;51444229062;1788217;51444229062;1180318;51444229062;1195962;
"j7.jpg";1;second;2514;2514;2514;2514;51444229062;2514;51444229062;2514;51444229062;2514;51444229062;2514;
"j8.jpg";1;first;1483987;1675073;1525612;2205867;51444229062;2205867;51444229062;1483987;51444229062;1484826;51444229062;1525612;
"j8.jpg";1;second;2235;2514;2514;2794;51444229062;2514;51444229062;2235;51444229062;2514;51444229062;2794;
"j9.jpg";1;first;1489854;14760744;2227657;53823880;51444229062;53823880;51444229062;2227657;51444229062;1489854;51444229062;1501588;
"j9.jpg";1;second;2235;3212;2235;6146;51444229062;6146;51444229062;2235;51444229062;2235;51444229062;2235;
"p0.pdf";0;first;86435846;87385547;87735732;88186068;51444229062;86435846;51444229062;88186068;51444229062;87735732;51444229062;87184545;
"p0.pdf";0;second;3073;3212;3352;3353;51444229062;3353;51444229062;3352;51444229062;3073;51444229062;3073;
"p1.pdf";0;first;97655987;98425428;98399657;99405651;51444229062;99405651;51444229062;98399657;51444229062;97655987;51444229062;98240419;
"p1.pdf";0;second;2793;3073;3352;3353;51444229062;2793;51444229062;2794;51444229062;3353;51444229062;3352;
"p2.pdf";0;first;119067926;138139833;120066098;193790831;51444229062;193790831;51444229062;120066098;51444229062;119067926;51444229062;119634479;
"p2.pdf";0;second;3073;3352;3352;3632;51444229062;3352;51444229062;3632;51444229062;3073;51444229062;3352;
"p3.pdf";0;first;103118413;103940794;104473892;104587594;51444229062;104587594;51444229062;104473892;51444229062;103583277;51444229062;103118413;
"p3.pdf";0;second;3073;3282;3352;3353;51444229062;3073;51444229062;3353;51444229062;3352;51444229062;3352;
"p4.pdf";0;first;117916104;125930599;119099773;147924387;51444229062;147924387;51444229062;119099773;51444229062;118782135;51444229062;117916104;
"p4.pdf";0;second;3073;3282;3353;3353;51444229062;3352;51444229062;3073;51444229062;3353;51444229062;3353;
"p5.pdf";0;first;130341427;131783369;132398951;132566290;51444229062;131826811;51444229062;130341427;51444229062;132398951;51444229062;132566290;
"p5.pdf";0;second;3073;3352;3352;3632;51444229062;3352;51444229062;3073;51444229062;3352;51444229062;3632;
"p6.pdf";0;first;136970760;138742494;138820437;140611167;51444229062;140611167;51444229062;138820437;51444229062;138567612;51444229062;136970760;
"p6.pdf";0;second;2793;3003;3073;3352;51444229062;2794;51444229062;2793;51444229062;3352;51444229062;3073;
"p7.pdf";0;first;115054287;117751976;118327888;122309679;51444229062;122309679;51444229062;118327888;51444229062;115054287;51444229062;115316052;
"p7.pdf";0;second;3073;3143;3073;3353;51444229062;3073;51444229062;3073;51444229062;3073;51444229062;3353;
"p8.pdf";0;first;143919409;144272736;144378685;144601339;51444229062;144191511;51444229062;144378685;51444229062;144601339;51444229062;143919409;
"p8.pdf";0;second;3073;3282;3352;3353;51444229062;3352;51444229062;3353;51444229062;3073;51444229062;3352;
"p9.pdf";0;first;151349682;153332616;154319614;155309683;51444229062;155309683;51444229062;152351486;51444229062;151349682;51444229062;154319614;
"p9.pdf";0;second;3073;3492;3353;4191;51444229062;4191;51444229062;3073;51444229062;3353;51444229062;3352;
