opcode;opcode;Instruction duration [ns]
AALOAD;50;5.03
ALOAD;25;3.77
ARRAYLENGTH;190;2.01
ASTORE;58;2.1
BALOAD;51;3.49
ICONST_0;3;1.68
ICONST_1;4;1.68
ICONST_M1;2;1.68
IF_ICMPLT;161;4
IF_ICMPNE;160;4
IINC;132;3
ILOAD;21;2.1
NEWARRAY;188;182
SIPUSH;17;2
