"Upload ID";"File ID";"is compressed";"first meas.";"second meas.";
51444282328;all;-1;5756824401;-1;
51444282328;j9.jpg;1;36867255;6984;
51444282328;p1.pdf;0;164002687;3073;
51444282328;p7.pdf;0;179200709;3911;
51444282328;p9.pdf;0;177528709;3352;
51444282328;p4.pdf;0;134624372;2794;
51444282328;j3.jpg;1;2923836;2514;
51444282328;j6.jpg;1;750654;2235;
51444282328;j6.jpg;1;878045;2514;
51444282328;p6.pdf;0;155414725;3073;
51444282328;j4.jpg;1;3446248;3632;
51444282328;j8.jpg;1;2229054;2514;
51444282328;p4.pdf;0;130965528;3073;
51444282328;p3.pdf;0;117950465;3911;
51444282328;j5.jpg;1;2148039;2793;
51444282328;j7.jpg;1;2502832;3352;
51444282328;j5.jpg;1;9911315;3632;
51444282328;p2.pdf;0;151470927;3631;
51444282328;p6.pdf;0;152320756;3631;
51444282328;p8.pdf;0;161129417;3352;
51444282328;p8.pdf;0;158263970;3911;
51444282328;j6.jpg;1;752889;2515;
51444282328;p9.pdf;0;166048758;3352;
51444282328;p3.pdf;0;111638211;3352;
51444282328;p5.pdf;0;152149784;3073;
51444282328;p1.pdf;0;110465995;3632;
51444282328;j4.jpg;1;1558299;2235;
51444282328;p7.pdf;0;131919280;3911;
51444282328;p3.pdf;0;116652535;3911;
51444282328;j1.jpg;1;2438579;2514;
51444282328;p2.pdf;0;138584932;3631;
51444282328;j3.jpg;1;2375163;4190;
51444282328;j3.jpg;1;1928458;2514;
51444282328;j9.jpg;1;2073168;2794;
51444282328;j0.jpg;1;3402388;3352;
51444282328;j1.jpg;1;1517232;2515;
51444282328;p7.pdf;0;123812384;4191;
51444282328;p5.pdf;0;150655460;4191;
51444282328;p8.pdf;0;161751005;3073;
51444282328;p0.pdf;0;94470945;3073;
51444282328;j7.jpg;1;1199873;2514;
51444282328;j2.jpg;1;2274870;2235;
51444282328;j0.jpg;1;1870908;2235;
51444282328;p0.pdf;0;100618934;3073;
51444282328;j7.jpg;1;1190654;2235;
51444282328;j5.jpg;1;1272229;2235;
51444282328;p5.pdf;0;146747143;3352;
51444282328;p6.pdf;0;152087765;3911;
51444282328;j0.jpg;1;2125968;2515;
51444282328;j2.jpg;1;2619048;2515;
51444282328;j2.jpg;1;2942832;3632;
51444282328;j9.jpg;1;1542654;3353;
51444282328;p3.pdf;0;109830439;3352;
51444282328;p6.pdf;0;151319512;3073;
51444282328;p2.pdf;0;131960347;3073;
51444282328;j1.jpg;1;2445004;3073;
51444282328;j9.jpg;1;1655238;2794;
51444282328;p9.pdf;0;167293888;3353;
51444282328;j7.jpg;1;1188420;2235;
51444282328;j3.jpg;1;1859454;2514;
51444282328;p1.pdf;0;106537284;3073;
51444282328;j8.jpg;1;1562768;3073;
51444282328;p0.pdf;0;98959784;3073;
51444282328;p2.pdf;0;133851090;3073;
51444282328;j2.jpg;1;2486909;2793;
51444282328;j4.jpg;1;1023874;2235;
51444282328;p9.pdf;0;167657063;3352;
51444282328;p4.pdf;0;125463991;3073;
51444282328;p1.pdf;0;109695227;3073;
51444282328;p7.pdf;0;132040525;3073;
51444282328;p4.pdf;0;126669172;3073;
51444282328;p0.pdf;0;96706146;3352;
51444282328;p5.pdf;0;147437453;3353;
51444282328;j4.jpg;1;1942426;2793;
51444282328;p8.pdf;0;159962230;3911;
51444282328;j6.jpg;1;1168584;2794;
51444282328;j5.jpg;1;1390679;2515;
51444282328;j1.jpg;1;1582045;2514;
51444282328;j8.jpg;1;1808330;2794;
51444282328;j0.jpg;1;1929296;2793;
51444282328;j8.jpg;1;1595454;2515;
