"File ID";"Compressed";"part";"Min of all measurements";"Avg of all measurements";"Med of all measurements";"Max of all measurements";"Upload ID";"value";"Upload ID";"value";"Upload ID";"value";"Upload ID";"value";
"j0.jpg";1;first;70552262;73004040;70869621;79886689;9107924837;70869621;9107924837;79886689;9107924837;70707590;9107924837;70552262;
"j0.jpg";1;second;3632;4191;3912;5308;9107924837;3912;9107924837;3632;9107924837;5308;9107924837;3912;
"j1.jpg";1;first;55484147;59323741;58253773;65982688;9107924837;58253773;9107924837;65982688;9107924837;57574356;9107924837;55484147;
"j1.jpg";1;second;3073;3422;3631;3632;9107924837;3352;9107924837;3631;9107924837;3632;9107924837;3073;
"j2.jpg";1;first;85155516;87425916;87570906;89898018;9107924837;87570906;9107924837;89898018;9107924837;87079224;9107924837;85155516;
"j2.jpg";1;second;3352;3562;3632;3632;9107924837;3632;9107924837;3632;9107924837;3352;9107924837;3632;
"j3.jpg";1;first;69485926;72289285;70885266;78573674;9107924837;70212275;9107924837;69485926;9107924837;78573674;9107924837;70885266;
"j3.jpg";1;second;3073;3492;3632;3911;9107924837;3632;9107924837;3353;9107924837;3073;9107924837;3911;
"j4.jpg";1;first;38622506;39862748;40153148;41550253;9107924837;39125085;9107924837;41550253;9107924837;38622506;9107924837;40153148;
"j4.jpg";1;second;3632;5238;4190;9498;9107924837;9498;9107924837;4190;9107924837;3632;9107924837;3632;
"j5.jpg";1;first;47656057;50907657;49634241;58507156;9107924837;49634241;9107924837;58507156;9107924837;47656057;9107924837;47833174;
"j5.jpg";1;second;3352;3631;3632;3911;9107924837;3352;9107924837;3632;9107924837;3911;9107924837;3632;
"j6.jpg";1;first;17983571;18454650;18186669;19566454;9107924837;18186669;9107924837;17983571;9107924837;18081907;9107924837;19566454;
"j6.jpg";1;second;2234;3212;3631;3632;9107924837;3352;9107924837;2234;9107924837;3632;9107924837;3631;
"j7.jpg";1;first;43892171;44922329;44613212;47265225;9107924837;47265225;9107924837;43892171;9107924837;43918710;9107924837;44613212;
"j7.jpg";1;second;3352;3492;3632;3632;9107924837;3352;9107924837;3352;9107924837;3632;9107924837;3632;
"j8.jpg";1;first;54252426;54872197;54905582;55605112;9107924837;55605112;9107924837;54725670;9107924837;54905582;9107924837;54252426;
"j8.jpg";1;second;3353;3632;3632;4191;9107924837;3353;9107924837;4191;9107924837;3632;9107924837;3353;
"j9.jpg";1;first;55700376;56062013;56306597;56489303;9107924837;55751779;9107924837;56306597;9107924837;56489303;9107924837;55700376;
"j9.jpg";1;second;2793;3142;3352;3632;9107924837;3632;9107924837;2794;9107924837;2793;9107924837;3352;
"p0.pdf";0;first;2107258324;2138071319;2137582291;2198911873;9107924837;2137582291;9107924837;2198911873;9107924837;2108532789;9107924837;2107258324;
"p0.pdf";0;second;3073;3562;3353;4470;9107924837;4470;9107924837;3073;9107924837;3352;9107924837;3353;
"p1.pdf";0;first;2335442913;2395851707;2380802029;2505615379;9107924837;2505615379;9107924837;2380802029;9107924837;2335442913;9107924837;2361546510;
"p1.pdf";0;second;3352;3631;3632;3911;9107924837;3631;9107924837;3632;9107924837;3352;9107924837;3911;
"p2.pdf";0;first;3971214218;3993636062;4005410464;4017135139;9107924837;4017135139;9107924837;3971214218;9107924837;3980784430;9107924837;4005410464;
"p2.pdf";0;second;3352;3841;3912;4749;9107924837;3353;9107924837;3912;9107924837;4749;9107924837;3352;
"p3.pdf";0;first;2478181725;2515250192;2516390211;2578840328;9107924837;2516390211;9107924837;2578840328;9107924837;2478181725;9107924837;2487588507;
"p3.pdf";0;second;3352;3771;3911;4190;9107924837;3911;9107924837;3632;9107924837;4190;9107924837;3352;
"p4.pdf";0;first;2835312310;2849856336;2850900045;2876368085;9107924837;2876368085;9107924837;2835312310;9107924837;2850900045;9107924837;2836844906;
"p4.pdf";0;second;2794;3561;3911;3911;9107924837;2794;9107924837;3631;9107924837;3911;9107924837;3911;
"p5.pdf";0;first;3235234925;3257714877;3265427869;3266910180;9107924837;3265427869;9107924837;3235234925;9107924837;3263286535;9107924837;3266910180;
"p5.pdf";0;second;3073;3631;3632;4190;9107924837;3632;9107924837;3073;9107924837;3632;9107924837;4190;
"p6.pdf";0;first;3332003369;3347996812;3349374292;3364476490;9107924837;3349374292;9107924837;3346133098;9107924837;3332003369;9107924837;3364476490;
"p6.pdf";0;second;3353;3562;3632;3632;9107924837;3632;9107924837;3632;9107924837;3631;9107924837;3353;
"p7.pdf";0;first;2914026503;2939852341;2948733708;2961263233;9107924837;2935385922;9107924837;2914026503;9107924837;2961263233;9107924837;2948733708;
"p7.pdf";0;second;3073;3492;3632;3911;9107924837;3911;9107924837;3353;9107924837;3073;9107924837;3632;
"p8.pdf";0;first;3551977416;3576312631;3570833444;3621951952;9107924837;3621951952;9107924837;3551977416;9107924837;3560487715;9107924837;3570833444;
"p8.pdf";0;second;3632;3981;4190;4191;9107924837;3911;9107924837;3632;9107924837;4191;9107924837;4190;
"p9.pdf";0;first;3673516606;3702747067;3709259697;3720727635;9107924837;3707484331;9107924837;3673516606;9107924837;3709259697;9107924837;3720727635;
"p9.pdf";0;second;3073;3701;3911;3911;9107924837;3911;9107924837;3911;9107924837;3073;9107924837;3911;
