File ID;Compressed;part;Min of all measurements;Avg of all measurements;Med of all measurements;Max of all measurements;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value
j0.jpg;1;first;48990584;49340069;49290063;49924222;9806020390;49924222;9806020390;49290063;9806020390;49155410;9806020390;48990584
j0.jpg;1;second;2235;2374;2514;2514;9806020390;2235;9806020390;2514;9806020390;2514;9806020390;2235
j1.jpg;1;first;38793199;40790519;39361148;46067587;9806020390;46067587;9806020390;39361148;9806020390;38940145;9806020390;38793199
j1.jpg;1;second;2514;2723;2514;3353;9806020390;3353;9806020390;2514;9806020390;2514;9806020390;2514
j2.jpg;1;first;59218979;64353500;61597494;77238867;9806020390;59218979;9806020390;77238867;9806020390;61597494;9806020390;59358662
j2.jpg;1;second;2235;2653;2793;3073;9806020390;2235;9806020390;3073;9806020390;2793;9806020390;2514
j3.jpg;1;first;48276527;50042393;49870025;52517848;9806020390;49505175;9806020390;48276527;9806020390;52517848;9806020390;49870025
j3.jpg;1;second;2235;2514;2514;2794;9806020390;2514;9806020390;2514;9806020390;2794;9806020390;2235
j4.jpg;1;first;26552816;27171330;26815978;28585756;9806020390;26815978;9806020390;26552816;9806020390;28585756;9806020390;26730771
j4.jpg;1;second;2514;2584;2515;2794;9806020390;2794;9806020390;2515;9806020390;2514;9806020390;2515
j5.jpg;1;first;33195001;33686893;33567674;34572550;9806020390;34572550;9806020390;33567674;9806020390;33195001;9806020390;33412347
j5.jpg;1;second;2235;2444;2514;2794;9806020390;2794;9806020390;2514;9806020390;2235;9806020390;2235
j6.jpg;1;first;12486503;12685132;12663621;13063113;9806020390;12527291;9806020390;12663621;9806020390;13063113;9806020390;12486503
j6.jpg;1;second;2235;2304;2235;2514;9806020390;2235;9806020390;2514;9806020390;2235;9806020390;2235
j7.jpg;1;first;30687978;30772486;30764804;30900017;9806020390;30900017;9806020390;30687978;9806020390;30764804;9806020390;30737147
j7.jpg;1;second;2235;2304;2235;2514;9806020390;2235;9806020390;2235;9806020390;2514;9806020390;2235
j8.jpg;1;first;38217148;38789497;38860526;39469263;9806020390;39469263;9806020390;38217148;9806020390;38860526;9806020390;38611052
j8.jpg;1;second;2514;2514;2514;2514;9806020390;2514;9806020390;2514;9806020390;2514;9806020390;2514
j9.jpg;1;first;38946011;39915827;40481961;40854913;9806020390;40854913;9806020390;38946011;9806020390;39380424;9806020390;40481961
j9.jpg;1;second;2514;2584;2515;2794;9806020390;2794;9806020390;2515;9806020390;2514;9806020390;2514
p0.pdf;0;first;877622715;896870412;880320823;949472349;9806020390;949472349;9806020390;877622715;9806020390;880065763;9806020390;880320823
p0.pdf;0;second;2794;3212;3073;3911;9806020390;3911;9806020390;2794;9806020390;3073;9806020390;3073
p1.pdf;0;first;972124949;976574397;978353953;982392176;9806020390;972124949;9806020390;978353953;9806020390;982392176;9806020390;973426510
p1.pdf;0;second;2793;3073;3073;3353;9806020390;3073;9806020390;3073;9806020390;2793;9806020390;3353
p2.pdf;0;first;1464345888;1468451996;1470433253;1470577127;9806020390;1464345888;9806020390;1470433253;9806020390;1470577127;9806020390;1468451717
p2.pdf;0;second;2794;3073;3073;3352;9806020390;3073;9806020390;2794;9806020390;3352;9806020390;3073
p3.pdf;0;first;1024511775;1047992691;1038387002;1101428254;9806020390;1101428254;9806020390;1038387002;9806020390;1027643736;9806020390;1024511775
p3.pdf;0;second;2793;3073;3073;3632;9806020390;3073;9806020390;2794;9806020390;3632;9806020390;2793
p4.pdf;0;first;1186895820;1194518018;1199205765;1201502146;9806020390;1199205765;9806020390;1201502146;9806020390;1190468341;9806020390;1186895820
p4.pdf;0;second;2794;3003;3073;3073;9806020390;3073;9806020390;3073;9806020390;3073;9806020390;2794
p5.pdf;0;first;1355729289;1370833932;1372922257;1397989968;9806020390;1355729289;9806020390;1356694217;9806020390;1397989968;9806020390;1372922257
p5.pdf;0;second;3073;3282;3353;3632;9806020390;3353;9806020390;3073;9806020390;3632;9806020390;3073
p6.pdf;0;first;1380469585;1383670829;1386059960;1386547731;9806020390;1381606042;9806020390;1380469585;9806020390;1386059960;9806020390;1386547731
p6.pdf;0;second;3073;3352;3352;3632;9806020390;3073;9806020390;3352;9806020390;3352;9806020390;3632
p7.pdf;0;first;1185332214;1267018922;1224103902;1469156554;9806020390;1469156554;9806020390;1189483021;9806020390;1224103902;9806020390;1185332214
p7.pdf;0;second;2793;3142;3352;3353;9806020390;3353;9806020390;3073;9806020390;2793;9806020390;3352
p8.pdf;0;first;1457780248;1529692740;1477781674;1716633259;9806020390;1716633259;9806020390;1477781674;9806020390;1457780248;9806020390;1466575780
p8.pdf;0;second;2794;4190;3632;7264;9806020390;7264;9806020390;3073;9806020390;2794;9806020390;3632
p9.pdf;0;first;1521772740;1542136011;1557264121;1564241265;9806020390;1521772740;9806020390;1557264121;9806020390;1564241265;9806020390;1525265921
p9.pdf;0;second;3073;3212;3352;3353;9806020390;3073;9806020390;3353;9806020390;3073;9806020390;3352
