Event Time;State
28486.94999999997;Busy 1 Job(s)
28538.60999999997;Idle
28568.109999999968;Busy 1 Job(s)
28595.17999999997;Idle
28643.47999999997;Busy 1 Job(s)
28679.409999999967;Busy 2 Job(s)
28688.19999999997;Busy 1 Job(s)
28701.419999999973;Idle
28812.719999999972;Busy 1 Job(s)
28830.569999999967;Busy 2 Job(s)
28843.789999999968;Busy 1 Job(s)
28864.379999999972;Idle
28944.17999999997;Busy 1 Job(s)
28988.899999999972;Idle
29026.449999999968;Busy 1 Job(s)
29072.059999999972;Idle
29132.78999999997;Busy 1 Job(s)
29186.399999999972;Idle
29212.479999999967;Busy 1 Job(s)
29242.969999999972;Idle
29291.26999999997;Busy 1 Job(s)
29335.989999999972;Idle
29398.509999999966;Busy 1 Job(s)
29424.059999999972;Idle
29512.219999999972;Busy 1 Job(s)
29553.739999999965;Busy 2 Job(s)
29563.879999999972;Busy 1 Job(s)
29585.989999999972;Idle
29678.219999999972;Busy 1 Job(s)
29731.829999999973;Idle
29771.269999999964;Busy 1 Job(s)
29788.76999999997;Busy 2 Job(s)
29813.83999999997;Busy 1 Job(s)
29829.86999999997;Idle
29984.39999999997;Busy 1 Job(s)
29985.429999999964;Busy 2 Job(s)
30010.499999999964;Busy 1 Job(s)
30036.05999999997;Idle
30121.799999999963;Busy 1 Job(s)
30143.77999999997;Idle
30200.43999999997;Busy 1 Job(s)
30252.09999999997;Idle
30304.459999999963;Busy 1 Job(s)
30335.25999999997;Idle
30426.789999999968;Busy 1 Job(s)
30459.689999999962;Busy 2 Job(s)
30483.359999999968;Busy 1 Job(s)
30505.46999999997;Idle
30553.769999999968;Busy 1 Job(s)
30598.48999999997;Idle
30673.849999999962;Busy 1 Job(s)
30678.289999999968;Busy 2 Job(s)
30698.449999999968;Busy 1 Job(s)
30711.66999999997;Idle
30816.64999999996;Busy 1 Job(s)
30850.88999999997;Idle
30879.41999999997;Busy 1 Job(s)
30935.98999999997;Idle
30999.30999999996;Busy 1 Job(s)
31050.64999999997;Idle
31107.30999999997;Busy 1 Job(s)
31158.96999999997;Idle
31181.96999999996;Busy 1 Job(s)
31210.62999999997;Idle
31333.659999999967;Busy 1 Job(s)
31367.99999999996;Busy 2 Job(s)
31390.229999999967;Busy 1 Job(s)
31415.299999999967;Idle
31534.959999999966;Busy 1 Job(s)
31554.72999999996;Busy 2 Job(s)
31574.88999999996;Busy 1 Job(s)
31588.569999999967;Idle
31739.729999999967;Busy 1 Job(s)
31760.91999999996;Busy 2 Job(s)
31781.079999999958;Busy 1 Job(s)
31796.299999999967;Idle
31892.379999999957;Busy 1 Job(s)
31935.519999999968;Idle
31960.679999999968;Busy 1 Job(s)
32012.339999999967;Idle
32078.409999999956;Busy 1 Job(s)
32131.909999999967;Idle
32161.139999999967;Busy 1 Job(s)
32214.749999999967;Idle
32264.439999999955;Busy 1 Job(s)
32302.819999999967;Idle
32375.739999999954;Busy 1 Job(s)
32394.349999999966;Busy 2 Job(s)
32407.569999999967;Busy 1 Job(s)
32432.309999999954;Idle
32562.099999999966;Busy 1 Job(s)
32614.969999999954;Busy 2 Job(s)
32618.669999999966;Busy 1 Job(s)
32638.829999999965;Idle
32769.499999999956;Busy 1 Job(s)
32821.399999999965;Idle
32846.55999999997;Busy 1 Job(s)
32898.21999999997;Idle
32952.15999999996;Busy 1 Job(s)
32981.379999999976;Idle
33072.909999999974;Busy 1 Job(s)
33129.479999999974;Idle
33134.81999999996;Busy 1 Job(s)
33181.13999999998;Idle
33300.79999999998;Busy 1 Job(s)
33317.47999999997;Busy 2 Job(s)
33337.63999999997;Busy 1 Job(s)
33352.459999999985;Idle
33448.93999999997;Busy 1 Job(s)
33491.679999999986;Idle
33520.209999999985;Busy 1 Job(s)
33576.779999999984;Idle
33631.59999999998;Busy 1 Job(s)
33659.93999999999;Idle
33751.46999999999;Busy 1 Job(s)
33786.82999999998;Busy 2 Job(s)
33808.039999999986;Busy 1 Job(s)
33830.14999999999;Idle
33922.37999999999;Busy 1 Job(s)
33929.62999999998;Busy 2 Job(s)
33951.73999999998;Busy 1 Job(s)
33967.09999999999;Idle
34046.899999999994;Busy 1 Job(s)
34063.039999999986;Busy 2 Job(s)
34076.25999999999;Busy 1 Job(s)
34091.619999999995;Idle
34246.149999999994;Busy 1 Job(s)
34258.91999999999;Busy 2 Job(s)
34283.98999999999;Busy 1 Job(s)
34297.81;Idle
34395.28999999999;Busy 1 Job(s)
34421.54;Busy 2 Job(s)
34434.76;Busy 1 Job(s)
34456.87;Idle
34515.229999999996;Busy 1 Job(s)
34535.9;Idle
34596.630000000005;Busy 1 Job(s)
34626.53;Busy 2 Job(s)
34641.350000000006;Busy 1 Job(s)
34648.64;Idle
34759.94;Busy 1 Job(s)
34780.57000000001;Idle
34805.73000000001;Busy 1 Job(s)
34857.390000000014;Idle
34871.240000000005;Busy 1 Job(s)
34902.110000000015;Idle
35021.77000000002;Busy 1 Job(s)
35057.270000000004;Busy 2 Job(s)
35073.43000000002;Busy 1 Job(s)
35098.50000000002;Idle
35146.800000000025;Busy 1 Job(s)
35191.520000000026;Idle
35271.43000000001;Busy 1 Job(s)
35306.18000000003;Idle
35362.84000000003;Busy 1 Job(s)
35414.50000000004;Idle
35454.09000000001;Busy 1 Job(s)
35497.66000000004;Idle
35558.39000000004;Busy 1 Job(s)
35565.390000000014;Busy 2 Job(s)
35587.500000000015;Busy 1 Job(s)
35603.110000000044;Idle
35682.91000000005;Busy 1 Job(s)
35727.63000000005;Idle
35773.53000000001;Busy 1 Job(s)
35815.70000000005;Idle
35884.830000000016;Busy 1 Job(s)
35903.86000000005;Busy 2 Job(s)
35917.08000000005;Busy 1 Job(s)
35936.49000000002;Idle
35963.97000000002;Busy 1 Job(s)
35974.020000000055;Busy 2 Job(s)
35982.76000000005;Busy 1 Job(s)
35998.79000000005;Idle
36149.950000000055;Busy 1 Job(s)
36178.13000000003;Busy 2 Job(s)
36198.29000000003;Busy 1 Job(s)
36201.61000000006;Idle
36325.34000000006;Busy 1 Job(s)
36353.52000000003;Busy 2 Job(s)
36375.630000000034;Busy 1 Job(s)
36378.95000000006;Idle
36486.93000000004;Busy 1 Job(s)
36518.170000000064;Idle
36543.33000000007;Busy 1 Job(s)
36594.99000000007;Idle
36672.960000000036;Busy 1 Job(s)
36714.56000000007;Idle
36774.59000000007;Busy 1 Job(s)
36784.26000000004;Busy 2 Job(s)
36809.33000000004;Busy 1 Job(s)
36819.31000000007;Idle
36973.84000000007;Busy 1 Job(s)
36995.36000000004;Busy 2 Job(s)
37020.43000000004;Busy 1 Job(s)
37030.41000000007;Idle
37110.21000000007;Busy 1 Job(s)
37154.93000000007;Idle
37206.460000000036;Busy 1 Job(s)
37243.00000000007;Idle
37317.76000000004;Busy 1 Job(s)
37331.160000000076;Busy 2 Job(s)
37344.38000000008;Busy 1 Job(s)
37364.54000000008;Idle
37437.70000000004;Busy 1 Job(s)
37475.07000000008;Idle
37531.73000000008;Busy 1 Job(s)
37583.39000000009;Idle
37620.360000000044;Busy 1 Job(s)
37647.84000000005;Busy 2 Job(s)
37666.55000000009;Busy 1 Job(s)
37675.29000000009;Idle
37708.57000000005;Busy 1 Job(s)
37760.40000000009;Idle
37880.06000000009;Busy 1 Job(s)
37891.230000000054;Busy 2 Job(s)
37911.39000000006;Busy 1 Job(s)
37931.720000000096;Idle
37999.83000000006;Busy 1 Job(s)
38011.5200000001;Busy 2 Job(s)
38027.5500000001;Busy 1 Job(s)
38040.7700000001;Idle
38164.5000000001;Busy 1 Job(s)
38217.36000000006;Busy 2 Job(s)
38218.1100000001;Busy 1 Job(s)
38243.1800000001;Idle
38371.89000000006;Busy 1 Job(s)
38425.7500000001;Idle
38454.2800000001;Busy 1 Job(s)
38510.8500000001;Idle
38554.55000000006;Busy 1 Job(s)
38594.010000000104;Idle
38642.99000000006;Busy 1 Job(s)
38654.74000000011;Busy 2 Job(s)
38670.770000000106;Busy 1 Job(s)
38692.88000000011;Idle
38847.410000000105;Busy 1 Job(s)
38857.15000000007;Busy 2 Job(s)
38882.22000000007;Busy 1 Job(s)
38899.07000000011;Idle
38926.820000000065;Busy 1 Job(s)
38941.96000000011;Idle
39038.12000000007;Busy 1 Job(s)
39064.99000000011;Busy 2 Job(s)
39078.21000000011;Busy 1 Job(s)
39103.28000000011;Idle
39254.44000000011;Busy 1 Job(s)
39255.65000000007;Busy 2 Job(s)
39275.81000000007;Busy 1 Job(s)
39311.01000000011;Idle
39458.470000000074;Busy 1 Job(s)
39462.170000000115;Busy 2 Job(s)
39482.33000000012;Busy 1 Job(s)
39502.49000000012;Idle
39582.290000000125;Busy 1 Job(s)
39590.360000000124;Busy 2 Job(s)
39603.580000000125;Busy 1 Job(s)
39607.180000000124;Idle
39645.20000000008;Busy 1 Job(s)
39692.290000000125;Idle
39756.50000000008;Busy 1 Job(s)
39800.010000000126;Idle
39825.17000000013;Busy 1 Job(s)
39876.83000000013;Idle
