Event Time;State
20000.0;Busy 1 Job(s)
20000.0;Idle
20000.0;Busy 1 Job(s)
20000.0;Idle
20000.0;Busy 1 Job(s)
20000.0;Idle
20000.0;Busy 1 Job(s)
20031.5;Idle
20031.5;Busy 1 Job(s)
20063.0;Idle
20063.0;Busy 1 Job(s)
20094.5;Idle
20094.5;Busy 1 Job(s)
20126.0;Idle
20126.0;Busy 1 Job(s)
20157.5;Idle
20157.5;Busy 1 Job(s)
20186.03;Idle
20186.03;Busy 1 Job(s)
20186.03;Idle
20186.03;Busy 1 Job(s)
20186.03;Idle
20186.03;Busy 1 Job(s)
20186.03;Idle
20186.03;Busy 1 Job(s)
20186.03;Busy 1 Job(s)
20186.03;Busy 2 Job(s)
20217.53;Busy 1 Job(s)
20217.53;Busy 2 Job(s)
20242.6;Busy 1 Job(s)
20242.6;Busy 1 Job(s)
20274.1;Idle
20274.1;Busy 1 Job(s)
20305.6;Idle
20305.6;Busy 1 Job(s)
20337.1;Idle
20337.1;Busy 1 Job(s)
20368.6;Idle
20368.6;Busy 1 Job(s)
20393.76;Busy 1 Job(s)
20393.76;Busy 1 Job(s)
20393.76;Idle
20393.76;Busy 1 Job(s)
20393.76;Idle
20393.76;Busy 1 Job(s)
20393.76;Idle
20393.76;Busy 1 Job(s)
20393.76;Busy 1 Job(s)
20393.76;Busy 2 Job(s)
20397.129999999997;Busy 1 Job(s)
20397.129999999997;Busy 2 Job(s)
20425.26;Busy 1 Job(s)
20425.26;Busy 2 Job(s)
20450.329999999998;Busy 1 Job(s)
20450.329999999998;Busy 1 Job(s)
20461.889999999996;Idle
20461.889999999996;Busy 1 Job(s)
20461.889999999996;Busy 1 Job(s)
20461.889999999996;Busy 2 Job(s)
20481.829999999998;Busy 1 Job(s)
20481.829999999998;Busy 2 Job(s)
20493.219999999998;Busy 1 Job(s)
20493.219999999998;Busy 1 Job(s)
20524.719999999998;Idle
20524.719999999998;Busy 1 Job(s)
20556.219999999998;Idle
20556.219999999998;Busy 1 Job(s)
20587.719999999998;Idle
20587.719999999998;Busy 1 Job(s)
20616.249999999996;Idle
20616.249999999996;Busy 1 Job(s)
20616.249999999996;Idle
20616.249999999996;Busy 1 Job(s)
20616.249999999996;Busy 1 Job(s)
20616.249999999996;Busy 2 Job(s)
20644.549999999996;Busy 1 Job(s)
20644.549999999996;Busy 2 Job(s)
20647.749999999996;Busy 1 Job(s)
20647.749999999996;Busy 2 Job(s)
20667.909999999996;Busy 1 Job(s)
20667.909999999996;Busy 1 Job(s)
20699.409999999996;Idle
20699.409999999996;Busy 1 Job(s)
20730.909999999996;Idle
20730.909999999996;Busy 1 Job(s)
20747.709999999995;Busy 1 Job(s)
20747.709999999995;Busy 1 Job(s)
20747.709999999995;Idle
20747.709999999995;Busy 1 Job(s)
20747.709999999995;Idle
20747.709999999995;Busy 1 Job(s)
20747.709999999995;Idle
20747.709999999995;Busy 1 Job(s)
20747.709999999995;Busy 1 Job(s)
20747.709999999995;Busy 2 Job(s)
20779.209999999995;Busy 1 Job(s)
20779.209999999995;Busy 2 Job(s)
20792.429999999997;Busy 1 Job(s)
20792.429999999997;Busy 1 Job(s)
20823.929999999997;Idle
20823.929999999997;Busy 1 Job(s)
20824.849999999995;Busy 1 Job(s)
20824.849999999995;Busy 2 Job(s)
20855.429999999997;Busy 1 Job(s)
20855.429999999997;Busy 2 Job(s)
20877.539999999997;Busy 1 Job(s)
20877.539999999997;Busy 1 Job(s)
20909.039999999997;Idle
20909.039999999997;Busy 1 Job(s)
20940.539999999997;Idle
20940.539999999997;Busy 1 Job(s)
20969.069999999996;Idle
20969.069999999996;Busy 1 Job(s)
20969.069999999996;Idle
20969.069999999996;Busy 1 Job(s)
20969.069999999996;Busy 1 Job(s)
20969.069999999996;Busy 2 Job(s)
21000.569999999996;Busy 1 Job(s)
21000.569999999996;Busy 2 Job(s)
21010.879999999994;Busy 1 Job(s)
21010.879999999994;Busy 2 Job(s)
21025.639999999996;Busy 1 Job(s)
21025.639999999996;Busy 1 Job(s)
21050.709999999995;Idle
21050.709999999995;Busy 1 Job(s)
21082.209999999995;Idle
21082.209999999995;Busy 1 Job(s)
21113.709999999995;Idle
21113.709999999995;Busy 1 Job(s)
21145.209999999995;Idle
21145.209999999995;Busy 1 Job(s)
21173.739999999994;Busy 1 Job(s)
21173.739999999994;Busy 1 Job(s)
21173.739999999994;Idle
21173.739999999994;Busy 1 Job(s)
21173.739999999994;Idle
21173.739999999994;Busy 1 Job(s)
21173.739999999994;Busy 1 Job(s)
21173.739999999994;Busy 2 Job(s)
21205.239999999994;Busy 1 Job(s)
21205.239999999994;Busy 2 Job(s)
21225.039999999994;Busy 1 Job(s)
21225.039999999994;Busy 2 Job(s)
21230.309999999994;Busy 1 Job(s)
21230.309999999994;Busy 1 Job(s)
21250.469999999994;Idle
21250.469999999994;Busy 1 Job(s)
21281.969999999994;Idle
21281.969999999994;Busy 1 Job(s)
21313.469999999994;Idle
21313.469999999994;Busy 1 Job(s)
21344.969999999994;Idle
21344.969999999994;Busy 1 Job(s)
21376.199999999993;Idle
21376.199999999993;Busy 1 Job(s)
21376.199999999993;Busy 1 Job(s)
21376.199999999993;Busy 2 Job(s)
21376.469999999994;Busy 1 Job(s)
21376.469999999994;Busy 2 Job(s)
21396.629999999994;Busy 1 Job(s)
21396.629999999994;Busy 1 Job(s)
21428.129999999994;Idle
21428.129999999994;Busy 1 Job(s)
21456.659999999993;Idle
21456.659999999993;Busy 1 Job(s)
21456.659999999993;Idle
21456.659999999993;Busy 1 Job(s)
21456.659999999993;Busy 1 Job(s)
21456.659999999993;Busy 2 Job(s)
21487.499999999993;Busy 1 Job(s)
21487.499999999993;Busy 2 Job(s)
21488.159999999993;Busy 1 Job(s)
21488.159999999993;Busy 2 Job(s)
21501.379999999994;Busy 1 Job(s)
21501.379999999994;Busy 1 Job(s)
21532.879999999994;Idle
21532.879999999994;Busy 1 Job(s)
21564.379999999994;Idle
21564.379999999994;Busy 1 Job(s)
21595.879999999994;Idle
21595.879999999994;Busy 1 Job(s)
21627.379999999994;Idle
21627.379999999994;Busy 1 Job(s)
21652.539999999994;Busy 1 Job(s)
21652.539999999994;Busy 1 Job(s)
21652.539999999994;Idle
