Event Time;Time Span
20000.0;0.0
20000.0;0.0
20000.0;0.0
20000.0;186.03
20000.0;186.03
20186.03;0.0
20186.03;0.0
20186.03;186.03
20186.03;0.0
20186.03;0.0
20186.03;182.66
20186.03;25.07
20186.03;25.07
20393.76;0.0
20393.76;0.0
20393.76;186.03
20393.76;20.16
20397.129999999997;0.0
20397.129999999997;0.0
20397.129999999997;44.6
20397.129999999997;25.07
20461.889999999996;0.0
20461.889999999996;0.0
20461.889999999996;182.66
20461.889999999996;11.39
20616.249999999996;0.0
20616.249999999996;0.0
20616.249999999996;111.3
20616.249999999996;25.07
20644.549999999996;0.0
20644.549999999996;0.0
20644.549999999996;155.23
20644.549999999996;20.16
20747.709999999995;0.0
20747.709999999995;0.0
20747.709999999995;186.03
20747.709999999995;13.22
20824.849999999995;0.0
20824.849999999995;0.0
20824.849999999995;186.03
20824.849999999995;22.11
20969.069999999996;0.0
20969.069999999996;0.0
20969.069999999996;186.03
20969.069999999996;25.07
21010.879999999994;0.0
21010.879999999994;0.0
21010.879999999994;182.66
21010.879999999994;25.07
21173.739999999994;0.0
21173.739999999994;0.0
21173.739999999994;182.66
21173.739999999994;25.07
21225.039999999994;0.0
21225.039999999994;0.0
21225.039999999994;186.03
21225.039999999994;20.16
21376.199999999993;0.0
21376.199999999993;0.0
21376.199999999993;111.3
21376.199999999993;20.16
21456.659999999993;0.0
21456.659999999993;0.0
21456.659999999993;182.66
21456.659999999993;25.07
21487.499999999993;0.0
21487.499999999993;0.0
21487.499999999993;186.03
21487.499999999993;13.22
21652.539999999994;0.0
21652.539999999994;0.0
21652.539999999994;186.03
21652.539999999994;20.16
21698.59999999999;0.0
21698.59999999999;0.0
21698.59999999999;88.44
21698.59999999999;25.07
21817.709999999992;0.0
21817.709999999992;0.0
21817.709999999992;111.3
21817.709999999992;16.03
21853.12999999999;0.0
21853.12999999999;0.0
21853.12999999999;155.23
21853.12999999999;25.07
21938.60999999999;0.0
21938.60999999999;0.0
21938.60999999999;88.44
21938.60999999999;13.22
22039.85999999999;0.0
22039.85999999999;0.0
22039.85999999999;111.3
22039.85999999999;22.11
22040.26999999999;0.0
22040.26999999999;16.03
22062.37999999999;0.0
22062.37999999999;186.03
22151.15999999999;0.0
22151.15999999999;0.0
22151.15999999999;182.66
22151.15999999999;13.22
22277.65999999999;0.0
22277.65999999999;0.0
22277.65999999999;186.03
22277.65999999999;25.07
22333.81999999999;0.0
22333.81999999999;0.0
22333.81999999999;155.23
22333.81999999999;20.16
22488.349999999988;0.0
22488.349999999988;0.0
22488.349999999988;182.66
22488.349999999988;25.07
22509.619999999988;0.0
22509.619999999988;22.11
22541.95999999999;0.0
22541.95999999999;111.3
22653.259999999987;0.0
22653.259999999987;0.0
22653.259999999987;182.66
22653.259999999987;13.22
22699.06999999999;0.0
22699.06999999999;0.0
22699.06999999999;182.66
22699.06999999999;20.16
22835.919999999987;0.0
22835.919999999987;0.0
22835.919999999987;182.66
22835.919999999987;20.16
22922.04999999999;0.0
22922.04999999999;0.0
22922.04999999999;186.03
22922.04999999999;20.16
23018.579999999987;0.0
23018.579999999987;0.0
23018.579999999987;186.03
23018.579999999987;20.16
23148.399999999987;0.0
23148.399999999987;0.0
23148.399999999987;8.07
23148.399999999987;25.07
23156.469999999987;0.0
23156.469999999987;0.0
23156.469999999987;182.66
23156.469999999987;3.6
23213.669999999984;0.0
23213.669999999984;0.0
23213.669999999984;111.3
23213.669999999984;25.07
23350.039999999983;0.0
23350.039999999983;0.0
23350.039999999983;111.3
23350.039999999983;13.22
23358.739999999987;0.0
23358.739999999987;0.0
23358.739999999987;111.3
23358.739999999987;20.16
23481.49999999998;0.0
23481.49999999998;0.0
23481.49999999998;111.3
23481.49999999998;13.22
23483.259999999987;0.0
23483.259999999987;0.0
23483.259999999987;186.03
23483.259999999987;13.22
23606.019999999982;0.0
23606.019999999982;0.0
23606.019999999982;111.3
23606.019999999982;13.22
23682.509999999987;0.0
23682.509999999987;0.0
23682.509999999987;111.3
23682.509999999987;25.07
23755.609999999982;0.0
23755.609999999982;0.0
23755.609999999982;186.03
23755.609999999982;13.22
23793.809999999987;0.0
23793.809999999987;0.0
23793.809999999987;186.03
23793.809999999987;13.22
23948.339999999986;0.0
23948.339999999986;0.0
23948.339999999986;111.3
23948.339999999986;25.07
24024.649999999983;0.0
24024.649999999983;0.0
24024.649999999983;186.03
24024.649999999983;25.07
24059.639999999985;0.0
24059.639999999985;0.0
24059.639999999985;186.03
24059.639999999985;13.22
24217.469999999983;0.0
24217.469999999983;0.0
24217.469999999983;186.03
24217.469999999983;25.07
24277.169999999984;0.0
24277.169999999984;0.0
24277.169999999984;182.66
24277.169999999984;25.07
24453.63999999998;0.0
24453.63999999998;0.0
24453.63999999998;182.66
24453.63999999998;25.07
24459.829999999984;0.0
24459.829999999984;0.0
24459.829999999984;182.66
24459.829999999984;20.16
24656.45999999998;0.0
24656.45999999998;0.0
24656.45999999998;182.66
24656.45999999998;20.16
24667.559999999983;0.0
24667.559999999983;0.0
24667.559999999983;155.23
24667.559999999983;20.16
24842.949999999983;0.0
24842.949999999983;0.0
24842.949999999983;186.03
24842.949999999983;22.11
24859.27999999998;0.0
24859.27999999998;0.0
24859.27999999998;111.3
24859.27999999998;20.16
24985.74999999998;0.0
24985.74999999998;0.0
24985.74999999998;182.66
24985.74999999998;13.22
25069.29999999998;0.0
25069.29999999998;0.0
25069.29999999998;182.66
25069.29999999998;25.07
25168.40999999998;0.0
25168.40999999998;0.0
25168.40999999998;111.3
25168.40999999998;20.16
25279.70999999998;0.0
25279.70999999998;0.0
25279.70999999998;111.3
25279.70999999998;13.22
25297.18999999998;0.0
25297.18999999998;0.0
25297.18999999998;186.03
25297.18999999998;20.16
25410.36999999998;0.0
25410.36999999998;0.0
25410.36999999998;186.03
25410.36999999998;13.22
25497.23999999998;0.0
25497.23999999998;0.0
25497.23999999998;186.03
25497.23999999998;25.07
25634.68999999998;0.0
25634.68999999998;0.0
25634.68999999998;186.03
25634.68999999998;25.07
25683.26999999998;0.0
25683.26999999998;0.0
25683.26999999998;182.66
25683.26999999998;25.07
25839.35999999998;0.0
25839.35999999998;0.0
25839.35999999998;27.48
25839.35999999998;25.07
25866.83999999998;0.0
25866.83999999998;0.0
25866.83999999998;186.03
25866.83999999998;8.74
25925.80999999998;0.0
25925.80999999998;0.0
25925.80999999998;186.03
25925.80999999998;20.16
26058.299999999977;0.0
26058.299999999977;0.0
26058.299999999977;186.03
26058.299999999977;25.07
26157.069999999978;0.0
26157.069999999978;0.0
26157.069999999978;182.66
26157.069999999978;25.07
26244.329999999976;0.0
26244.329999999976;0.0
26244.329999999976;182.66
26244.329999999976;25.07
26389.869999999977;0.0
26389.869999999977;0.0
26389.869999999977;186.03
26389.869999999977;20.16
26426.989999999976;0.0
26426.989999999976;0.0
26426.989999999976;186.03
26426.989999999976;20.16
26584.719999999976;0.0
26584.719999999976;0.0
26584.719999999976;155.23
26584.719999999976;25.07
26644.519999999975;0.0
26644.519999999975;0.0
26644.519999999975;182.66
26644.519999999975;25.07
